booth_code,x,y
3-A01,1480,292
3-A02,1427,95
3-A03,1482,333
3-A04,1423,128
3-A05,1481,377
3-A06,1426,156
3-A08,1427,205
3-A10,1427,233
3-A12,1424,260
3-A14,1424,308
3-A09,1481,414
3-A11,1483,441
3-A13,1482,474
3-A15,1482,509
3-A17,1482,544
3-A19,1482,584
3-A23,1482,624
3-A18,1425,404
3-A22,1424,463
3-A26,1425,504
3-A28,1426,542
3-A30,1425,575
3-A32,1429,614
3-B01,1392,101
3-B02,1335,94
3-B03,1393,136
3-B04,1333,124
3-B05,1392,171
3-B06,1337,160
3-B07,1393,201
3-B08,1336,198
3-B09,1394,233
3-B10,1336,233
3-B11,1394,260
3-B14,1338,295
3-B13,1397,307
3-B17,1392,403
3-B18,1334,399
3-B21,1393,452
3-B22,1334,448
3-B23,1397,483
3-B24,1336,478
3-B25,1393,513
3-B26,1334,512
3-B27,1388,545
3-B28,1335,545
3-B29,1390,573
3-B30,1339,575
3-B31,1393,611
3-B32,1336,613
3-C01,1303,96
3-C02,1246,98
3-C03,1303,136
3-C04,1245,133
3-C05,1306,168
3-C06,1244,169
3-C07,1307,200
3-C08,1249,202
3-C09,1303,233
3-C10,1249,233
3-C11,1303,260
3-C12,1246,259
3-C13,1303,309
3-C14,1249,308
3-D01,1216,108
3-D02,1134,111
3-D05,1216,160
3-D06,1156,157
3-D07,1216,219
3-D08,1152,198
3-D09,1215,260
3-D10,1156,233
3-D12,1155,258
3-D13,1214,307
3-D14,1153,309
3-E05,1120,162
3-E09,1121,222
3-E02,1067,100
3-E06,1066,138
3-E08,1067,199
3-E11,1122,255
3-E13,1119,312
3-E10,1064,234
3-E12,1065,263
3-E14,1065,308
3-F13,1030,308
3-F14,973,307
3-F12,978,263
3-F09,1034,233
3-F10,974,235
3-F07,1037,201
3-F08,975,200
3-F05,1030,159
3-F06,976,158
3-F02,973,109
3-F01,1029,109
3-G01,942,95
3-G02,889,100
3-G03,945,127
3-G04,887,141
3-G05,944,157
3-G06,887,179
3-G07,944,189
3-G09,949,219
3-G10,884,222
3-G11,944,251
3-G12,889,252
3-G13,942,284
3-G14,887,280
3-G15,944,315
3-G16,887,319
3-H01,855,99
3-H02,799,98
3-H03,856,138
3-H04,800,136
3-H05,853,167
3-H06,798,168
3-H07,856,213
3-H08,796,198
3-H10,797,233
3-H11,858,264
3-H12,799,261
3-H13,858,307
3-H14,801,309
Technical Service Counter,848,34
3-J01,765,102
3-J02,707,110
3-J03,769,152
3-J06,708,156
3-J05,766,192
3-J08,710,201
3-J10,708,233
3-J09,766,231
3-J11,767,259
3-J12,708,266
3-J13,769,307
3-J14,708,304
3-C17,1303,399
3-C18,1247,402
3-C21,1305,471
3-C22,1249,451
3-C23,1303,509
3-C24,1248,491
3-C25,1303,542
3-C26,1244,519
3-C27,1303,583
3-C28,1248,552
LIVESTREAMING ROOM,1251,588
3-C31,1303,620
3-C32,1244,617
3-E17,1215,400
3-E18,1154,402
3-E21,1216,460
3-E22,1153,457
3-E23,1217,489
3-E24,1153,492
3-E25,1219,520
3-E26,1155,523
3-E27,1220,555
3-E28,1155,553
3-E29,1214,584
3-E30,1152,587
3-E31,1214,618
3-E32,1154,618
3-F17,1122,402
3-F18,1060,403
3-F21,1121,450
3-F22,1063,460
3-F23,1122,480
3-F24,1062,490
3-F25,1124,513
3-F26,1064,525
3-F27,1122,543
3-F28,1064,554
3-F29,1122,574
3-F30,1065,586
3-F31,1120,611
3-F32,1065,614
3-G17,1029,389
3-G19,1031,427
3-G18,978,397
3-G21,1031,464
3-G22,974,462
3-G23,1033,496
3-G24,972,491
3-G25,1034,521
3-G26,976,522
3-G27,1034,554
3-G28,978,555
3-G29,1037,586
3-G30,979,586
3-G31,1031,614
3-G32,973,616
3-H17,945,400
3-H18,887,402
3-H21,947,460
3-H22,885,459
3-H23,948,493
3-H24,888,495
3-H25,943,523
3-H26,883,521
3-H27,942,551
3-H28,888,553
3-H29,946,586
3-H30,885,583
3-H31,946,614
3-H32,885,617
3-J17,858,402
3-J18,781,405
3-J21,856,450
3-J22,797,458
3-J23,854,481
3-J24,798,492
3-J25,855,510
3-J26,799,524
3-J27,853,545
3-J28,798,556
3-J29,854,575
3-J30,794,580
3-J31,854,614
3-J32,797,616
6-A21,764,459
6-A23,763,493
6-A22,710,460
6-A24,709,489
6-A25,766,524
6-A26,706,520
6-A27,766,546
6-A28,709,549
6-A29,769,584
6-A30,708,585
6-A31,771,619
6-A32,707,617
6-A18,713,402
6-A01,676,107
6-A05,676,158
6-A02,619,92
6-A04,618,126
6-A06,621,156
6-A07,673,201
6-A08,618,197
6-A09,683,228
6-A10,621,233
6-A11,676,265
6-A12,619,260
6-A13,682,310
6-A14,620,306
6-B01,589,93
6-B02,533,94
6-B03,589,127
6-B04,533,127
6-B05,588,160
6-B06,534,158
6-B07,592,197
6-B08,530,200
6-B09,590,229
6-B10,529,225
6-B11,589,260
6-B12,531,261
6-B13,588,290
6-B14,534,308
6-B15,588,325
6-C01,498,111
6-C02,445,98
6-C05,498,159
6-C04,442,133
6-C06,442,170
6-C07,500,197
6-C08,443,199
6-C10,439,228
6-C09,498,245
6-C12,440,260
6-C13,499,309
6-C14,443,305
6-D01,412,99
6-D02,348,110
6-D03,409,142
6-D06,348,154
6-D05,413,176
6-D08,347,197
6-D09,413,210
6-D10,348,230
6-D11,415,257
6-D12,351,262
6-D13,408,305
6-D14,349,307
6-E01,317,97
6-E02,262,95
6-E03,317,140
6-E04,264,125
6-E05,317,178
6-E06,263,161
6-E07,319,220
6-E08,264,200
6-E10,266,229
6-E11,319,251
6-E12,265,261
6-E13,320,285
6-E15,316,320
6-E14,248,309
6-F11,235,259
6-F16,180,319
6-F14,183,282
6-F12,179,251
6-F10,182,218
6-F07,231,198
6-F09,233,228
6-F05,231,165
6-F03,231,136
6-F01,233,98
6-F02,166,110
6-F06,181,163
6-G05,146,160
6-G07,149,202
6-G09,154,233
6-G02,99,100
6-G04,100,135
6-G06,101,169
6-G08,97,200
6-G10,104,224
6-G11,156,263
6-G12,97,263
6-G13,151,296
6-G14,101,292
6-G15,151,324
6-G16,100,326
THE STAGE,163,440
DISPLAY AREA,296,456
BACKSTAGE,107,525
DRAGON LOUNGE,230,588
6-B17,676,400
6-B18,621,402
6-B21,676,464
6-B22,621,462
6-B23,682,488
6-B24,619,494
6-B25,676,526
6-B26,620,520
6-B27,676,554
6-B28,620,554
6-B29,678,585
6-B30,618,583
6-B31,681,621
6-B32,621,617
6-A34,658,676
6-C33,626,670
6-C34,589,672
6-C35,566,673
6-D33,530,675
6-C17,584,402
6-C18,515,405
6-C21,587,459
6-C22,529,458
6-C23,591,493
6-C24,534,491
6-C25,593,528
6-C6,531,520
6-C27,590,552
6-C28,531,550
6-C29,588,584
6-C30,533,583
6-C31,590,619
6-C32,540,613
OASIS,427,417
6-D25,500,540
FIRST AIDS ROOM,496,461
STORAGE,499,493
6-E23,406,480
6-E27,411,593
PRAYER ROOM,413,520
E+ BACK OFFICE,447,499
MEETING ROOM,444,559
S.F.EXPRESS COUNTER,447,607
3-B33,1412,675
CLOACKROOM,1343,677
3-D33,1248,675
SALES COUNTER,1278,676
3-D34,1138,675
3-E35,1092,677
3-F33,1058,674
3-G33,1025,676
3-G34,997,677
3-H33,888,673
3-J33,856,672
3-J34,824,675
3-J35,780,679
6-A33,745,669
