NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
Chung Yi Enterprise (H.K.) Company Limited,Chung Yi Enterprise (H.K.) Company Limited,Hong Kong,"Electrical Wire & Cable, Computer Cable","Electrical Wire & Cable, Computer Cable",,Exhibitor,electronic Asia 2026,5B-C07,Electronics Components,,1,,,"Electrical Wire & Cable, Computer Cable; We are an ISO certified manufacturer with approximately 40 years of experience in producing cable assemblies, wire harness assemblies and modular jack products.; OEM","Electrical Wire & Cable, Computer Cable; We are an ISO certified manufacturer with approximately 40 years of experience in producing cable assemblies, wire harness assemblies and modular jack products.; OEM",https://www.hktdc.com/event/electronicasia/en/exhibitor/1S005NL7U,2,https://www.hktdc.com/event/electronicasia/en/product/1X0NHTVQ; https://www.hktdc.com/event/electronicasia/en/product/1X0NHTVQ
Microtech Technology Company Limited,Microtech Technology Company Limited,Hong Kong,"Microtech Technology Company Limited established in 2001,offers professional design and manufacturing services for hundreds types of Liquid Crytal Display modules and Touch Panels-TN,FSTN,TFT,RTP,CTP.With the advantages of high contrast,fast response time,wide viewable angle and low power consumption,Microtech's products are widely used in Industrial Equipment,Medical devices,Home Intelligent Devices,Digital cameras,Video Game Devices,Instruments etc.Since its establishment,the management has been following human-oriented strategy and developing reliance among customers.To comply with these beliefs and ISO 9001:2015 standards,Microtech keeps on recruiting capable professionals,adopting advanced technology,developing new products,improving process and enhancing quality.Based on its strong R&D capacity, outstanding product quality and professional service,Microtech has won the high reputation from both mainland and oversea customers,and established long-term strategic partner relationship with them.","Microtech Technology Company Limited established in 2001,offers professional design and manufacturing services for hundreds types of Liquid Crytal Display modules and Touch Panels-TN,FSTN,TFT,RTP,CTP.With the advantages of high contrast,fast response time,wide viewable angle and low power consumption,Microtech's products are widely used in Industrial Equipment,Medical devices,Home Intelligent Devices,Digital cameras,Video Game Devices,Instruments etc.Since its establishment,the management has been following human-oriented strategy and developing reliance among customers.To comply with these beliefs and ISO 9001:2015 standards,Microtech keeps on recruiting capable professionals,adopting advanced technology,developing new products,improving process and enhancing quality.Based on its strong R&D capacity, outstanding product quality and professional service,Microtech has won the high reputation from both mainland and oversea customers,and established long-term strategic partner relationship with them.",,Exhibitor,electronic Asia 2026,5B-D08,World of Display Technology,,1,,,"Liquid Crystal Display (LCD); Design and maufacturing  TFT Modules, OLED Display Modules, TN, FSTN LCD Display, COB Character LCD Module, Graphic LCD, Capactive Touch Screen, Customise LCD display and Touch Screen Solution, Android Board Solution, TFT Driving Board Solution.; ODM, OEM, OBM","Liquid Crystal Display (LCD); Design and maufacturing  TFT Modules, OLED Display Modules, TN, FSTN LCD Display, COB Character LCD Module, Graphic LCD, Capactive Touch Screen, Customise LCD display and Touch Screen Solution, Android Board Solution, TFT Driving Board Solution.; ODM, OEM, OBM",https://www.hktdc.com/event/electronicasia/en/exhibitor/1S005NMUW,2,https://www.hktdc.com/event/electronicasia/en/product/1Z03GXZ4P; https://www.hktdc.com/event/electronicasia/en/product/1Z03GXZ4P
Yan Chuen Company Limited,Yan Chuen Company Limited,Hong Kong,"Yan Chuen Co., Ltd. is Hong Kong base with 30 years of experience in Silicone Rubber Keypad, Rubber Parts and Membrane Keypad manufacturing and ISO9001/IATF16949, ISO14001 & ISO13485 Certificate. We are well known for being a reliable source of quality products in the field. Products of Yan Chuen are widely used in telecom, security, medical, machinery, home appliance and toys etc. With the finest machinery, raw material, well trained staff and strong managing structure, we done very well in the past but we still continuously improve ourselves in order to provide the best quality products to our valued customers.","Yan Chuen Co., Ltd. is Hong Kong base with 30 years of experience in Silicone Rubber Keypad, Rubber Parts and Membrane Keypad manufacturing and ISO9001/IATF16949, ISO14001 & ISO13485 Certificate. We are well known for being a reliable source of quality products in the field. Products of Yan Chuen are widely used in telecom, security, medical, machinery, home appliance and toys etc. With the finest machinery, raw material, well trained staff and strong managing structure, we done very well in the past but we still continuously improve ourselves in order to provide the best quality products to our valued customers.",,Exhibitor,electronic Asia 2026,5B-A01,Keyboards & Switches,,1,,,"Keyboard Panel Membrane, Keyboard (Excl. Computer Keyboard); Silicone Rubber Keypad, Membrane Keypad, Membrane Keyboard, FPC Cable Connector, Rubber Products, Rubber Connector Rubber Gasket, Silicone Rubber Cover, Plastic Case, Tempered Glass Screen Protector; OEM, ODM","Keyboard Panel Membrane, Keyboard (Excl. Computer Keyboard); Silicone Rubber Keypad, Membrane Keypad, Membrane Keyboard, FPC Cable Connector, Rubber Products, Rubber Connector Rubber Gasket, Silicone Rubber Cover, Plastic Case, Tempered Glass Screen Protector; OEM, ODM",https://www.hktdc.com/event/electronicasia/en/exhibitor/1S005NMS2,2,https://www.hktdc.com/event/electronicasia/en/product/1Z03OO42Q; https://www.hktdc.com/event/electronicasia/en/product/1Z03OO42Q
RoMaks Limited,RoMaks Limited,Hong Kong,"RoMaks Limited is a Hong Kong-based company specializing in the global wholesale distribution of electronic components. With a strong focus on quality, reliability, and competitive pricing, we provide OEMs, EMS companies, and electronics manufacturers with a wide range of products including connectors, PCB spacers, IC sockets, fasteners, and more. Backed by years of industry experience and partnerships with trusted suppliers, RoMaks ensures timely delivery, personalized support, and deep inventory access for both standard and hard-to-find parts. Our mission is to empower innovation by delivering the essential components that drive technology forward","RoMaks Limited is a Hong Kong-based company specializing in the global wholesale distribution of electronic components. With a strong focus on quality, reliability, and competitive pricing, we provide OEMs, EMS companies, and electronics manufacturers with a wide range of products including connectors, PCB spacers, IC sockets, fasteners, and more. Backed by years of industry experience and partnerships with trusted suppliers, RoMaks ensures timely delivery, personalized support, and deep inventory access for both standard and hard-to-find parts. Our mission is to empower innovation by delivering the essential components that drive technology forward",,Exhibitor,electronic Asia 2026,5B-D05,Electronics Components,,1,,,"Computer Cable,Semiconductors,Integrated Circuit (IC),Microcontroller,Electrical Plug,Assemblies for Measurement Applications,Electronic Product Ceramic Part,Electrical Wire & Cable,BNC 50 / 75 Coxial Connector,Substrate Material for Microtechnology; RoMaks Limited supplies high-quality electronic components including connectors, PCB spacers, IC sockets, and fasteners for industrial, OEM, and electronics manufacturing applications.; OEM","Computer Cable,Semiconductors,Integrated Circuit (IC),Microcontroller,Electrical Plug,Assemblies for Measurement Applications,Electronic Product Ceramic Part,Electrical Wire & Cable,BNC 50 / 75 Coxial Connector,Substrate Material for Microtechnology; RoMaks Limited supplies high-quality electronic components including connectors, PCB spacers, IC sockets, and fasteners for industrial, OEM, and electronics manufacturing applications.; OEM",https://www.hktdc.com/event/electronicasia/en/exhibitor/1S005NL36,2,https://www.hktdc.com/event/electronicasia/en/product/1Z03O00Z3; https://www.hktdc.com/event/electronicasia/en/product/1Z03O00Z3
Trio Engineering Company Limited,Trio Engineering Company Limited,Hong Kong,"Trio Engineering provides engineering and electronic manufacturing services (EMS) for a wide range of industries. With our experienced team coupled with an outstanding track record and reputation, we have been recognized by our customers as their partner of choice for quick-turn services. We address high complexity, advanced PCB assemblies and Turn-Key System solutions that meet their dynamic business needs and new product introductions. Trio specialises in the manufacture of custom and standard Power Supplies, Industrial Battery Chargers, Inverters, Filters and Transformers / Magnetics for Industry. Trio has an extensive export base in Europe, USA, Asia and the Pacific region. We are recognized as an ideal partner for low to medium volume/high mix contract manufacturing, and as the manufacturing requirements grow, we offer the option to transfer volume production to our efficient and competent manufacturing facilities in China. Trio understands the complexities around Product Lifecycle Management from design to supply chain through to production and delivery. Our relationships with our customers, suppliers, contractors and employees are based on trust leading to mutual success. All relationships are started with the intention of becoming long term.","Trio Engineering provides engineering and electronic manufacturing services (EMS) for a wide range of industries. With our experienced team coupled with an outstanding track record and reputation, we have been recognized by our customers as their partner of choice for quick-turn services. We address high complexity, advanced PCB assemblies and Turn-Key System solutions that meet their dynamic business needs and new product introductions. Trio specialises in the manufacture of custom and standard Power Supplies, Industrial Battery Chargers, Inverters, Filters and Transformers / Magnetics for Industry. Trio has an extensive export base in Europe, USA, Asia and the Pacific region. We are recognized as an ideal partner for low to medium volume/high mix contract manufacturing, and as the manufacturing requirements grow, we offer the option to transfer volume production to our efficient and competent manufacturing facilities in China. Trio understands the complexities around Product Lifecycle Management from design to supply chain through to production and delivery. Our relationships with our customers, suppliers, contractors and employees are based on trust leading to mutual success. All relationships are started with the intention of becoming long term.",,Exhibitor,electronic Asia 2026,5B-A02,Power Supplies,,1,,,"Assembly & Subsystem ( include PCB Assembly ), UPS / Power Supply, Electronic Manufacturing Service, Inverter; High complexity and advanced PCB assemblies and turn key system assembly solutions. We specialise in the manufacture of custom and standard power supplies, industrial battery chargers, inverters, filters and transformers for industrial applications; ODM, OEM","Assembly & Subsystem ( include PCB Assembly ), UPS / Power Supply, Electronic Manufacturing Service, Inverter; High complexity and advanced PCB assemblies and turn key system assembly solutions. We specialise in the manufacture of custom and standard power supplies, industrial battery chargers, inverters, filters and transformers for industrial applications; ODM, OEM",https://www.hktdc.com/event/electronicasia/en/exhibitor/1S005NL29,0,
Connaught (HK) Limited,Connaught (HK) Limited,Hong Kong,"Connaught Motor (Shenzhen) Limited was established in 2005 with solely HK capital,Headquartered in Kwun Tong District, Kowloon, Hong Kong, the factory is located in Pingshan New District, Shenzhen, with a total factory area of More than 10,000 square meters, a workshop area of 8000 square meters, and 200-300 employees .","Connaught Motor (Shenzhen) Limited was established in 2005 with solely HK capital,Headquartered in Kwun Tong District, Kowloon, Hong Kong, the factory is located in Pingshan New District, Shenzhen, with a total factory area of More than 10,000 square meters, a workshop area of 8000 square meters, and 200-300 employees .",,Exhibitor,electronic Asia 2026,5B-C05,Electronics Components,,1,,,"Motors, Actuator; the main products are permanent magnet DC motors, miniature geared motors, miniature pumps and valves, etc.The products are widely used in smart home, smart door lock, personal care, artificial intelligence, automobile model aircraft, adult products.; Others, OBM, ODM, OEM","Motors, Actuator; the main products are permanent magnet DC motors, miniature geared motors, miniature pumps and valves, etc.The products are widely used in smart home, smart door lock, personal care, artificial intelligence, automobile model aircraft, adult products.; Others, OBM, ODM, OEM",https://www.hktdc.com/event/electronicasia/en/exhibitor/1S005NKQA,2,https://www.hktdc.com/event/electronicasia/en/product/1Z03N1R30; https://www.hktdc.com/event/electronicasia/en/product/1Z03N1R30
Neo-Tech Industrial Limited,Neo-Tech Industrial Limited,Hong Kong,"Neo-Tech Industrial Limited is one of the team to provide ""One stop solution"" (Plastic, Silicone rubber and metal parts) to our customer. We Specialise in plastic mold making, single and double injection molding; Silicone compression molding; Die-casting & Trimming metal parts. Neo-Tech's headquarter located in Hong Kong and branch offices in Sydney Australia and ShenZhen China. Our Production Plants located in ZhongShan China and ShenZhen China. We have more than 30 years of experience and expertise in plastic, silicone and metal area. An ISO9001; ISO13489; TS16949 and QS Certificate to fulfil our quality standard and customer needs. Our goal is to satisfied customer's need and become a successful working partner to our customer.","Neo-Tech Industrial Limited is one of the team to provide ""One stop solution"" (Plastic, Silicone rubber and metal parts) to our customer. We Specialise in plastic mold making, single and double injection molding; Silicone compression molding; Die-casting & Trimming metal parts. Neo-Tech's headquarter located in Hong Kong and branch offices in Sydney Australia and ShenZhen China. Our Production Plants located in ZhongShan China and ShenZhen China. We have more than 30 years of experience and expertise in plastic, silicone and metal area. An ISO9001; ISO13489; TS16949 and QS Certificate to fulfil our quality standard and customer needs. Our goal is to satisfied customer's need and become a successful working partner to our customer.",,Exhibitor,electronic Asia 2026,5B-C06,Electronics Components,,1,,,"Display Unit & Accessories, Keyboard (Excl. Computer Keyboard), Production Management, Manufacturing & Industrial Engineering; Total solution service in Plastic, Silicone rubber and Metal
~ Mold Making (In-house production and export Mold)
~ Plastic Injection Molding
~Silicone Compression Molding
~ Metal Die casting & Trimming
~ Add value process
~ assembly
~ Delivery; OEM","Display Unit & Accessories, Keyboard (Excl. Computer Keyboard), Production Management, Manufacturing & Industrial Engineering; Total solution service in Plastic, Silicone rubber and Metal
~ Mold Making (In-house production and export Mold)
~ Plastic Injection Molding
~Silicone Compression Molding
~ Metal Die casting & Trimming
~ Add value process
~ assembly
~ Delivery; OEM",https://www.hktdc.com/event/electronicasia/en/exhibitor/1S005O0DX,0,
SJHI Co. Limited,SJHI Co. Limited,Hong Kong,Manufacuring and trading company set up in Hong Kong. Produciton plants in China and Mexico. Headquarter located in Taiwan.,Manufacuring and trading company set up in Hong Kong. Produciton plants in China and Mexico. Headquarter located in Taiwan.,,Exhibitor,electronic Asia 2026,5B-D21,Electronics Components,,1,,,"Resistor, Manufacturing & Industrial Engineering, Insulating Element; All kinds of tubular  heating elements for household appliance, Commercial  Kitchen equipments,  Insustrial equipments ,  Medical and testing equipments . EV battery heating, .Coffee maker Boilers , Thickflim , Silcone rubber and PI heating elements.; OEM, Others","Resistor, Manufacturing & Industrial Engineering, Insulating Element; All kinds of tubular  heating elements for household appliance, Commercial  Kitchen equipments,  Insustrial equipments ,  Medical and testing equipments . EV battery heating, .Coffee maker Boilers , Thickflim , Silcone rubber and PI heating elements.; OEM, Others",https://www.hktdc.com/event/electronicasia/en/exhibitor/1S005NKS4,2,https://www.hktdc.com/event/electronicasia/en/product/1Z03OIKMM; https://www.hktdc.com/event/electronicasia/en/product/1Z03OIKMM
"Chongqing Pingwei Enterprise Co., Ltd.","Chongqing Pingwei Enterprise Co., Ltd.",Chinese Mainland,"Pingwei Industrial, headquartered in Chongqing, is a power semiconductor enterprise with nearly 20 years of development history. It currently has more than 1,100 employees and an annual production capacity of over 20 billion pieces. As a leading enterprise in power semiconductor devices, the products of Pingwei Industrial are widely applied in multiple fields such as consumer electronics, industry, and automobiles, providing professional support for the global electronics industry. Relying on the improvement in efficiency (including aspects such as technology, size, power, and performance), the company's products have won the trust of a wide range of customers. The company has a rich intellectual property product portfolio and continues to expand its product line. It has obtained international standard certifications such as IATF 16949, ISO 9001, ISO 14001, and ISO 45001, fully demonstrating the company's firm commitment to innovation, high efficiency, sustainable development, and meeting strict industry requirements.","Pingwei Industrial, headquartered in Chongqing, is a power semiconductor enterprise with nearly 20 years of development history. It currently has more than 1,100 employees and an annual production capacity of over 20 billion pieces. As a leading enterprise in power semiconductor devices, the products of Pingwei Industrial are widely applied in multiple fields such as consumer electronics, industry, and automobiles, providing professional support for the global electronics industry. Relying on the improvement in efficiency (including aspects such as technology, size, power, and performance), the company's products have won the trust of a wide range of customers. The company has a rich intellectual property product portfolio and continues to expand its product line. It has obtained international standard certifications such as IATF 16949, ISO 9001, ISO 14001, and ISO 45001, fully demonstrating the company's firm commitment to innovation, high efficiency, sustainable development, and meeting strict industry requirements.",,Exhibitor,electronic Asia 2026,5B-E22,Electronics Components,,1,,,"Semiconductor, Transistor; Technology roadmap —wafer platform、Technology roadmap —package platform, etc.; OEM","Semiconductor, Transistor; Technology roadmap —wafer platform、Technology roadmap —package platform, etc.; OEM",https://www.hktdc.com/event/electronicasia/en/exhibitor/1S005S34L,0,
"Maosheng Electric Co., LTD.","Maosheng Electric Co., LTD.",Chinese Mainland,"aosheng Electric Co., Ltd. is a high new science and technology enterprise. The company grasps "" humanist "" as the management philosophy and concept. The company positively introduces and nimbly utilizes the domestic as well as foreign advanced managerial experience and the specialized technology. The company contributes to the technical R&D department which has become mature and perfect day by day. The company has fully developed an integritied scientific management mechanism, including the design, the manufacture, the examination, the measurement, etc. The company has got ISO9001: 2, 000 international quality systems authentication. The company in line with the objective of "" The quality sets up the market, the prestige strives for the development "" and in line with the quality policy of "" checks each step, each article goes through a strategic pass, lets the users be satisfied "". The company insists on the comprehensive implementation of "" to makes the brand by the science and technology ""and persists in the development path of science and technology, the scale, multiplex, and the internationalization.","aosheng Electric Co., Ltd. is a high new science and technology enterprise. The company grasps "" humanist "" as the management philosophy and concept. The company positively introduces and nimbly utilizes the domestic as well as foreign advanced managerial experience and the specialized technology. The company contributes to the technical R&D department which has become mature and perfect day by day. The company has fully developed an integritied scientific management mechanism, including the design, the manufacture, the examination, the measurement, etc. The company has got ISO9001: 2, 000 international quality systems authentication. The company in line with the objective of "" The quality sets up the market, the prestige strives for the development "" and in line with the quality policy of "" checks each step, each article goes through a strategic pass, lets the users be satisfied "". The company insists on the comprehensive implementation of "" to makes the brand by the science and technology ""and persists in the development path of science and technology, the scale, multiplex, and the internationalization.",,Exhibitor,electronic Asia 2026,5B-F20,Electronics Components,,1,,,"UPS / Power Supply; Company mainly produces the voltage regulators, transformers, inverters, and other power products. All products has passed the quality inspection and the partial products has passed "" the European Economic Community CE safe authentication "".; ODM, OBM, OEM","UPS / Power Supply; Company mainly produces the voltage regulators, transformers, inverters, and other power products. All products has passed the quality inspection and the partial products has passed "" the European Economic Community CE safe authentication "".; ODM, OBM, OEM",https://www.hktdc.com/event/electronicasia/en/exhibitor/1S005S5HG,0,
