NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Harnesses,Harnesses,The top-quality plastic material insulates electricity for maximum safety during use. This harness is an excellent choice for computers and other electrical appliances.,The top-quality plastic material insulates electricity for maximum safety during use. This harness is an excellent choice for computers and other electrical appliances.,,,https://sourcing-media.hktdc.com/product-original/Harnesses/428e801ca863422c82d3e2821f447940; https://sourcing-media.hktdc.com/product-original/Harnesses/c256b2fff8284b9abd031fef8e6d295c; https://sourcing-media.hktdc.com/product-original/Harnesses/e10b01cd22bd4d2496d42bd7722b24d0,Chung Yi Enterprise (H.K.) Company Limited,"Electrical Wire & Cable, Computer Cable; We are an ISO certified manufacturer with approximately 40 years of experience in producing cable assemblies, wire harness assemblies and modular jack products.; OEM","Electrical Wire & Cable, Computer Cable; We are an ISO certified manufacturer with approximately 40 years of experience in producing cable assemblies, wire harness assemblies and modular jack products.; OEM"
240*320 TFT LCD Display Module 2.8 inch IPS Display,240*320 TFT LCD Display Module 2.8 inch IPS Display,High Quality 240*320 TFT LCD Display Module 2.8 inch IPS Display LCD,High Quality 240*320 TFT LCD Display Module 2.8 inch IPS Display LCD,,,,Microtech Technology Company Limited,"Liquid Crystal Display (LCD); Design and maufacturing  TFT Modules, OLED Display Modules, TN, FSTN LCD Display, COB Character LCD Module, Graphic LCD, Capactive Touch Screen, Customise LCD display and Touch Screen Solution, Android Board Solution, TFT Driving Board Solution.; ODM, OEM, OBM","Liquid Crystal Display (LCD); Design and maufacturing  TFT Modules, OLED Display Modules, TN, FSTN LCD Display, COB Character LCD Module, Graphic LCD, Capactive Touch Screen, Customise LCD display and Touch Screen Solution, Android Board Solution, TFT Driving Board Solution.; ODM, OEM, OBM"
Membrane switch panel,Membrane switch panel,"Featured is a high-quality membrane switch panel designed for turning on and off an electrical circuit. It consists of two plastic-film screens printed with conductive ink to complete the circuit. Professionally manufactured with strong adhesive and fine materials, this membrane switch panel is able to prevail against the test of time and withstand the stress of actuation.; #Membrane switch panel #Electronic part","Featured is a high-quality membrane switch panel designed for turning on and off an electrical circuit. It consists of two plastic-film screens printed with conductive ink to complete the circuit. Professionally manufactured with strong adhesive and fine materials, this membrane switch panel is able to prevail against the test of time and withstand the stress of actuation.; #Membrane switch panel #Electronic part",,,https://sourcing-media.hktdc.com/product-original/Membrane-20switch-20panel/7e18be70e39d11ea883f06c82c63b760,Yan Chuen Company Limited,"Keyboard Panel Membrane, Keyboard (Excl. Computer Keyboard); Silicone Rubber Keypad, Membrane Keypad, Membrane Keyboard, FPC Cable Connector, Rubber Products, Rubber Connector Rubber Gasket, Silicone Rubber Cover, Plastic Case, Tempered Glass Screen Protector; OEM, ODM","Keyboard Panel Membrane, Keyboard (Excl. Computer Keyboard); Silicone Rubber Keypad, Membrane Keypad, Membrane Keyboard, FPC Cable Connector, Rubber Products, Rubber Connector Rubber Gasket, Silicone Rubber Cover, Plastic Case, Tempered Glass Screen Protector; OEM, ODM"
Electronic components,Electronic components,"RoMaks Limited is a trusted supplier of high-quality electronic components, strategically based in Hong Kong with a focus on fast delivery and global accessibility. We specialize in sourcing and distributing a wide range of components directly from leading manufacturers and verified distributors. Our extensive in-stock inventory and streamlined logistics network allow us to meet urgent production needs across the electronics industry.; We support OEMs, EMS providers, engineers, and procurement professionals with reliable supply chains and responsive customer service. Our product portfolio covers a broad spectrum of applications in industrial automation, automotive electronics, IoT, consumer devices, power systems, and more.; Passive Components: Resistors, capacitors, inductors, varistors, ferrites, and filters.; Active Components: Diodes, transistors, rectifiers, thyristors, voltage regulators.; Semiconductors & ICs: Microcontrollers, logic ICs, analog/digital ICs, sensors, memory chips.; PCB Hardware: Spacer standoffs, LED supports, screws, fasteners, connectors, cable assemblies.; Optoelectronics: LEDs, displays, photodiodes, infrared components.; All of our products comply with international standards such as RoHS , REACH , and ISO 9001 . Quality assurance is embedded into every stage of sourcing and handling to ensure reliability, performance, and safety.; In-stock availability for popular components with real-time updates.; Fast worldwide shipping from Hong Kong to Asia, Europe, and North America.; Custom sourcing solutions for hard-to-find, obsolete, or specialty parts.; Flexible MOQ (Minimum Order Quantity) to support prototyping and production.; Whether you are building next-generation devices or maintaining legacy systems, RoMaks Limited ensures your supply chain remains uninterrupted, affordable, and efficient. We are more than a supplier — we are a sourcing partner.; For more details, visit our website or contact our team to request a product list, datasheet, or quotation.","RoMaks Limited is a trusted supplier of high-quality electronic components, strategically based in Hong Kong with a focus on fast delivery and global accessibility. We specialize in sourcing and distributing a wide range of components directly from leading manufacturers and verified distributors. Our extensive in-stock inventory and streamlined logistics network allow us to meet urgent production needs across the electronics industry.; We support OEMs, EMS providers, engineers, and procurement professionals with reliable supply chains and responsive customer service. Our product portfolio covers a broad spectrum of applications in industrial automation, automotive electronics, IoT, consumer devices, power systems, and more.; Passive Components: Resistors, capacitors, inductors, varistors, ferrites, and filters.; Active Components: Diodes, transistors, rectifiers, thyristors, voltage regulators.; Semiconductors & ICs: Microcontrollers, logic ICs, analog/digital ICs, sensors, memory chips.; PCB Hardware: Spacer standoffs, LED supports, screws, fasteners, connectors, cable assemblies.; Optoelectronics: LEDs, displays, photodiodes, infrared components.; All of our products comply with international standards such as RoHS , REACH , and ISO 9001 . Quality assurance is embedded into every stage of sourcing and handling to ensure reliability, performance, and safety.; In-stock availability for popular components with real-time updates.; Fast worldwide shipping from Hong Kong to Asia, Europe, and North America.; Custom sourcing solutions for hard-to-find, obsolete, or specialty parts.; Flexible MOQ (Minimum Order Quantity) to support prototyping and production.; Whether you are building next-generation devices or maintaining legacy systems, RoMaks Limited ensures your supply chain remains uninterrupted, affordable, and efficient. We are more than a supplier — we are a sourcing partner.; For more details, visit our website or contact our team to request a product list, datasheet, or quotation.",,,,RoMaks Limited,"Computer Cable,Semiconductors,Integrated Circuit (IC),Microcontroller,Electrical Plug,Assemblies for Measurement Applications,Electronic Product Ceramic Part,Electrical Wire & Cable,BNC 50 / 75 Coxial Connector,Substrate Material for Microtechnology; RoMaks Limited supplies high-quality electronic components including connectors, PCB spacers, IC sockets, and fasteners for industrial, OEM, and electronics manufacturing applications.; OEM","Computer Cable,Semiconductors,Integrated Circuit (IC),Microcontroller,Electrical Plug,Assemblies for Measurement Applications,Electronic Product Ceramic Part,Electrical Wire & Cable,BNC 50 / 75 Coxial Connector,Substrate Material for Microtechnology; RoMaks Limited supplies high-quality electronic components including connectors, PCB spacers, IC sockets, and fasteners for industrial, OEM, and electronics manufacturing applications.; OEM"
LS280 OSCILLATIONAL GEAR MOTOR,LS280 OSCILLATIONAL GEAR MOTOR,LS280 OSCILLATIONAL GEAR MOTOR,LS280 OSCILLATIONAL GEAR MOTOR,,,https://sourcing-media.hktdc.com/product-original/LS280-20OSCILLATIONAL-20GEAR-20MOTOR/a4599c0ff67b42099515c4e7406639f4; https://sourcing-media.hktdc.com/product-original/LS280-20OSCILLATIONAL-20GEAR-20MOTOR/d75fae1188d84c268ab266b16c759c0e; https://sourcing-media.hktdc.com/product-original/LS280-20OSCILLATIONAL-20GEAR-20MOTOR/cb8e25805932490582615adecb866a64; https://sourcing-media.hktdc.com/product-original/LS280-20OSCILLATIONAL-20GEAR-20MOTOR/a179fea2b8084cacb633acde37de8939; https://sourcing-media.hktdc.com/product-original/LS280-20OSCILLATIONAL-20GEAR-20MOTOR/0af33f6d40bd4f52af683caa4241c6ee; https://sourcing-media.hktdc.com/product-original/LS280-20OSCILLATIONAL-20GEAR-20MOTOR/1edc966da3c14c52b1e3c2878cddd0f1; https://sourcing-media.hktdc.com/product-original/LS280-20OSCILLATIONAL-20GEAR-20MOTOR/ab1581abb7a84ecaa6ff6a77a476a47d; https://sourcing-media.hktdc.com/product-original/LS280-20OSCILLATIONAL-20GEAR-20MOTOR/3b9b6ad638ed41ce870c8effef32111b; https://sourcing-media.hktdc.com/product-original/LS280-20OSCILLATIONAL-20GEAR-20MOTOR/29779aa2fb3c4d08b9fb3eebc7fb0f5c,Connaught (HK) Limited,"Motors, Actuator; the main products are permanent magnet DC motors, miniature geared motors, miniature pumps and valves, etc.The products are widely used in smart home, smart door lock, personal care, artificial intelligence, automobile model aircraft, adult products.; Others, OBM, ODM, OEM","Motors, Actuator; the main products are permanent magnet DC motors, miniature geared motors, miniature pumps and valves, etc.The products are widely used in smart home, smart door lock, personal care, artificial intelligence, automobile model aircraft, adult products.; Others, OBM, ODM, OEM"
Cartridge heater,Cartridge heater,"Heating element , boilers, deep fryer, warm pads","Heating element , boilers, deep fryer, warm pads",,,,SJHI Co. Limited,"Resistor, Manufacturing & Industrial Engineering, Insulating Element; All kinds of tubular  heating elements for household appliance, Commercial  Kitchen equipments,  Insustrial equipments ,  Medical and testing equipments . EV battery heating, .Coffee maker Boilers , Thickflim , Silcone rubber and PI heating elements.; OEM, Others","Resistor, Manufacturing & Industrial Engineering, Insulating Element; All kinds of tubular  heating elements for household appliance, Commercial  Kitchen equipments,  Insustrial equipments ,  Medical and testing equipments . EV battery heating, .Coffee maker Boilers , Thickflim , Silcone rubber and PI heating elements.; OEM, Others"
Claf AC/DC Power Suppliers,Claf AC/DC Power Suppliers,"Claf AC/DC Power Suppliers , DC/DC Converters","Claf AC/DC Power Suppliers , DC/DC Converters",,,,Mobicon Holdings Ltd,"Display Unit & Accessories, Liquid Crystal Display (LCD), Testing Instrument For Electrical / Electronic Product, Electronic Manufacturing Service, Integrated Circuit ( IC ), Assembly & Subsystem ( include PCB Assembly ), Manufacturing & Industrial Engineering, Embedded Systems Assembly / Module, Flat Panel Video Display Technology, Inductor; Clover Display: LCD Manufacturer that provides LCD, TFT and electronic assembly.
LRC: IC, Diodes, Transistors, ESD Protection Devices, MOSFETs
Fluke: Compact, professional electronic test tools.; OEM, ODM","Display Unit & Accessories, Liquid Crystal Display (LCD), Testing Instrument For Electrical / Electronic Product, Electronic Manufacturing Service, Integrated Circuit ( IC ), Assembly & Subsystem ( include PCB Assembly ), Manufacturing & Industrial Engineering, Embedded Systems Assembly / Module, Flat Panel Video Display Technology, Inductor; Clover Display: LCD Manufacturer that provides LCD, TFT and electronic assembly.
LRC: IC, Diodes, Transistors, ESD Protection Devices, MOSFETs
Fluke: Compact, professional electronic test tools.; OEM, ODM"
11inch TFT LCM,11inch TFT LCM,11inch TFT LCM,11inch TFT LCM,,,,"Easttop Display Co., Limited","Liquid Crystal Display (LCD); We have advanced Mono-LCD, COB, COG, CTP&OCA bonding, BLU assembling, SMT and OEM equipment which can produce all types of mono LCD, mono modules (including COB type and COG type), CTP, BLU as well as TFT modules, OLED modules, E-paper and OEM.; ODM, OEM","Liquid Crystal Display (LCD); We have advanced Mono-LCD, COB, COG, CTP&OCA bonding, BLU assembling, SMT and OEM equipment which can produce all types of mono LCD, mono modules (including COB type and COG type), CTP, BLU as well as TFT modules, OLED modules, E-paper and OEM.; ODM, OEM"
tact switch (TC-1106),tact switch (TC-1106),"ITEM; PERFORMANCE; Title; TACT SWITCH; Model; TC-1106; Rating; 50mA 12V DC; ContactResistance(mohms); 100mΩ max; Insulation Resistanc(Mohms); 100mΩ min at 100V DC; Dielectric Strength(V); AC 250V for 1 min; LifeTest; 100,000 Cycles","ITEM; PERFORMANCE; Title; TACT SWITCH; Model; TC-1106; Rating; 50mA 12V DC; ContactResistance(mohms); 100mΩ max; Insulation Resistanc(Mohms); 100mΩ min at 100V DC; Dielectric Strength(V); AC 250V for 1 min; LifeTest; 100,000 Cycles",,,,Kwan Da Electronic (HK) Limited,"Reed Switch, Keyboard (Excl. Computer Keyboard); Our company is established in 1989 and has more than 30 years of production experience in the electrical switch and jacks industry.
So far, we have cooperated long-term with many companies.; Others","Reed Switch, Keyboard (Excl. Computer Keyboard); Our company is established in 1989 and has more than 30 years of production experience in the electrical switch and jacks industry.
So far, we have cooperated long-term with many companies.; Others"
CYF1(14F) RELAY,CYF1(14F) RELAY,"CYF series (CYF1, CYF2, CYF3), the product market is also called 14F series, the contact load is divided into 5A, 10A, 16A, the main; application markets are: home appliance audio, water pump switches, industrial control instruments, entertainment equipment","CYF series (CYF1, CYF2, CYF3), the product market is also called 14F series, the contact load is divided into 5A, 10A, 16A, the main; application markets are: home appliance audio, water pump switches, industrial control instruments, entertainment equipment",,,https://sourcing-media.hktdc.com/product-original/CYF1-14F-20RELAY/75a45b35d6004a258c87edfa1c8d04dd; https://sourcing-media.hktdc.com/product-original/CYF1-14F-20RELAY/e5d1e68f029a44a1885cf281a9fab154; https://sourcing-media.hktdc.com/product-original/CYF1-14F-20RELAY/1b868d725f4e4901bbe58f0c5a88cd64,Ningbo Yinzhou Chengyuan Electronic Device Factory,"Medical Analytical / Testing Instrument & Equipment, Integrated Circuit ( IC ), Relay, Industrial Testing Instrument & Equipment, Manufacturing & Industrial Engineering, Reed Switch, Assembly & Subsystem ( include PCB Assembly ), Testing Instrument For Electrical / Electronic Product, Printed Circuit Board (PCB), Electronic Manufacturing Service; Industrial control relay CY49F series; Magnetic holding relay: CYF-S, CYA-S series, reed relay SIP SR, SIPHV; High voltage dry spring relay CYHVR, CYHV series, universal relay CYF series, T73 series, CY11F series, communication relay, 4100/4100 serie; OBM","Medical Analytical / Testing Instrument & Equipment, Integrated Circuit ( IC ), Relay, Industrial Testing Instrument & Equipment, Manufacturing & Industrial Engineering, Reed Switch, Assembly & Subsystem ( include PCB Assembly ), Testing Instrument For Electrical / Electronic Product, Printed Circuit Board (PCB), Electronic Manufacturing Service; Industrial control relay CY49F series; Magnetic holding relay: CYF-S, CYA-S series, reed relay SIP SR, SIPHV; High voltage dry spring relay CYHVR, CYHV series, universal relay CYF series, T73 series, CY11F series, communication relay, 4100/4100 serie; OBM"
