booth_code,x,y
STAGE,405,113
3G-E09,288,69
3G-E10,304,115
3G-E08,286,110
3G-E06,257,70
3G-E04,233,70
3G-D01,176,97
3G-D02,183,116
3G-D04,237,113
3G-C02,185,163
3G-C04,240,161
3G-C06,293,159
3G-B02,190,212
3G-B04,249,215
3G-B06,302,218
3G-B08,376,209
3G-B11,421,255
3G-C09,419,201
3G-C11,441,201
3G-B16,421,219
3G-B18,438,220
3G-A12,427,276
3G-A10,375,260
3G-A14,413,312
3G-A16,419,331
3G-A20,441,314
3G-A18,444,331
3G-C14,482,207
3G-C16,478,225
3G-C18,478,242
3G-B13,478,285
3G-B13A,476,307
3G-B15,476,335
3G-B17,476,357
3G-A08,313,282
3G-A06,245,276
3G-A02,188,282
3F-E01,207,374
3F-E03,302,375
3F-E05,394,388
3F-D02,190,450
3F-D01,193,508
3F-D06,314,456
3F-D08,422,456
3F-D07,438,507
3F-D05A,390,500
3F-D05B,366,503
3F-D05C,344,500
3F-D05D,316,500
3F-D05E,388,522
3F-D05F,363,520
3F-D05G,337,520
3F-D05H,317,520
3F-D13,475,482
3F-D12,480,436
3F-D10,472,413
3F-D03,263,507
3F-C01,191,560
3F-C03,263,566
3F-C05,322,578
3F-C07,370,564
3F-B07,373,673
3F-B08,363,617
3F-B12,382,617
3F-B02,190,615
3F-B01,190,672
3F-A01,178,722
ES COUNTER,205,719
3F-B04,263,626
3F-B03,262,690
3F-B06,321,639
3F-B05,317,691
3F-A07,284,728
3F-A09,329,729
BUSINESS MISSION COUNTER,394,720
VISITOR PROMOTION COUNTER,184,61
