booth_code,x,y
1E-A24,1012,74
1E-A22,1012,108
1E-A25,984,64
1E-A23,987,90
1E-A21,987,110
1E-A20,1014,131
1E-A19,985,129
1E-A18,1020,149
1E-A14,1021,185
1E-A10,1020,240
1E-A08,1013,276
1E-A07,988,276
1E-A06,1013,297
1E-A05,987,297
1E-A02,1013,327
1D-E02,980,327
1D-E06,975,297
1D-E05,950,298
1D-E07,947,274
1D-E08,974,273
1D-E10,977,240
1D-E13,950,181
1D-E14,983,181
1D-E18,975,151
1D-E19,950,129
1D-E20,976,129
1D-E21,950,107
1D-E22,975,107
1D-E23,949,88
1D-E24,976,89
1D-E25,949,65
1D-E26,975,68
1D-D02,942,338
1D-D04,937,318
1D-D05,908,297
1D-D06,935,286
1D-D07,910,276
1D-D08,939,237
1D-D09,910,254
1D-D16,933,182
1D-D15,912,173
1D-D17,909,149
1D-D19,912,131
1D-D20,938,129
1D-D21,912,107
1D-D22,937,110
1D-D24,933,86
1D-D25,909,65
1D-D26,937,64
1D-C02,906,329
1D-C05,874,287
1D-C06,900,297
1D-C08,896,275
1D-C10,902,232
1D-C14,902,191
1D-C17,872,149
1D-C18,897,151
1D-C19,871,127
1D-C20,899,129
1D-C21,874,107
1D-C22,897,107
1D-C23,875,85
1D-C24,897,86
1D-B25,867,63
1D-C26,899,65
1D-B02,870,329
1D-B06,860,296
1D-B08,860,276
1D-B07,835,278
1D-B09,833,242
1D-B10,867,242
1D-B14,864,181
1D-B18,860,151
1D-B17,837,151
1D-B19,835,128
1D-B20,863,129
1D-B21,838,107
1D-B22,858,107
1D-B23,835,87
1D-B24,862,84
1D-A26,830,65
1D-A25,793,64
1D-A24,826,88
1D-A23,792,85
1D-A22,824,107
1D-A21,787,107
1D-A20,824,129
1D-A19,793,129
1D-A18,826,149
1D-A14,829,183
1D-A13,791,183
1D-A11,797,230
1D-A10,822,242
1D-A08,824,277
1D-A07,793,276
1D-A06,828,297
1D-A05,795,298
1D-A04,822,317
1D-A03,796,319
1D-A02,833,338
1D-A01,796,340
1C-F26,767,66
1C-F25,746,67
1C-F24,766,87
1C-F23,746,89
1C-F22,772,107
1C-F21,743,107
1C-F20,764,130
1C-F19,745,128
1C-F17,746,151
1C-F16,767,183
1C-F13,742,183
1C-F08,768,277
1C-F09,745,242
1C-F05,743,286
1C-F02,770,320
1C-F01,742,326
1C-E02,731,328
1C-E06,731,298
1C-E08,731,274
1C-E09,708,242
1C-E10,729,239
1C-E13,705,181
1C-E14,731,184
1C-E17,706,150
1C-E18,730,150
1C-E19,709,129
1C-E20,729,128
1C-E21,706,107
1C-E22,731,105
1C-E23,706,84
1C-E24,730,86
1C-E25,709,65
1C-E26,730,66
1C-D02,700,329
1C-D06,701,297
1C-D05,668,285
1C-D08,700,275
1C-D09,671,252
1C-D10,695,242
1C-D14,693,184
1C-D15,668,180
1C-D17,672,150
1C-D18,692,150
1C-D19,670,128
1C-D20,695,129
1C-D21,672,102
1C-D22,693,108
1C-D23,670,77
1C-D24,696,87
1C-D26,692,66
1C-C02,667,334
1C-C01,633,328
1C-C04,658,317
1C-C05,630,297
1C-C06,656,299
1C-C07,634,275
1C-C08,655,275
1C-C09,631,252
1C-C12,667,234
1C-C13,633,179
1C-C14,656,178
1C-C19,630,128
1C-C20,656,130
1C-C21,631,110
1C-C22,656,109
1C-C23,631,76
1C-C24,656,87
1C-C26,656,65
1C-B02,618,328
1C-B03,596,319
1C-B05,595,297
1C-B06,621,297
1C-B07,595,275
1C-B08,620,262
1C-B09,596,252
1C-B12,629,232
hktdc.com OASIS,554,231
1C-B14,621,183
1C-B15,592,173
1C-B17,596,150
1C-B18,620,150
1C-B19,593,126
1C-B20,618,131
1C-B21,597,109
