NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
"Guangzhou Hualiang Xinxing Electronic Manufacturing Co., Ltd.","Guangzhou Hualiang Xinxing Electronic Manufacturing Co., Ltd.",Chinese Mainland,"Karaoke Equipment, Hi-Fi Equipment, Audio Speaker","Karaoke Equipment, Hi-Fi Equipment, Audio Speaker",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1E-B24,Hall of Fame - Digital Entertainment,Cantonese Business Go Global,1,,,"Karaoke Equipment, Hi-Fi Equipment, Audio Speaker; speaker; Others, OBM, OEM, ODM","Karaoke Equipment, Hi-Fi Equipment, Audio Speaker; speaker; Others, OBM, OEM, ODM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005QDCN,2,https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03NJFS9; https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03NJFS9
"Shenzhen Risun Technology Co., Ltd.","Shenzhen Risun Technology Co., Ltd.",Chinese Mainland,"RISUNTECH was founded in 2006, 16 years research and development of oral care industry manufacturing experience, has developed for production area of 120000 square meters, employees over 2600 people of national high and new technology enterprise, focus on sonic electric toothbrush, dental unit, UV sterilizer and teeth whitening device of oral care products such as scientific research, production and sales. Rui st, take out the fixed budget every year as a research and development center of science and technology in such aspects as function of new technology, new special research funding, scientific research personnel 95 people, has 150 patents, 14 software works. As China household electrical appliances association director unit, and China home appliance association to develop the electric toothbrush and electric blunt feed industry standards. Get MDSAP, ISO9001:2015 quality management system, iso13485:2003 medical product quality assurance system certification, 2016 as well as the BSCI, WCA corporate social responsibility certification.","RISUNTECH was founded in 2006, 16 years research and development of oral care industry manufacturing experience, has developed for production area of 120000 square meters, employees over 2600 people of national high and new technology enterprise, focus on sonic electric toothbrush, dental unit, UV sterilizer and teeth whitening device of oral care products such as scientific research, production and sales. Rui st, take out the fixed budget every year as a research and development center of science and technology in such aspects as function of new technology, new special research funding, scientific research personnel 95 people, has 150 patents, 14 software works. As China household electrical appliances association director unit, and China home appliance association to develop the electric toothbrush and electric blunt feed industry standards. Get MDSAP, ISO9001:2015 quality management system, iso13485:2003 medical product quality assurance system certification, 2016 as well as the BSCI, WCA corporate social responsibility certification.",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1B-E25,Hall of Fame - Gadgets World,,1,,,"Electric Toothbrush; Electric Toothbrushes, Dental Rinsers, Teeth Whitening Devices; ODM, OEM","Electric Toothbrush; Electric Toothbrushes, Dental Rinsers, Teeth Whitening Devices; ODM, OEM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005Q5CV,2,https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03EQ8W4; https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03EQ8W4
"Ningbo SKL International Co., Ltd.","Ningbo SKL International Co., Ltd.",Chinese Mainland,"We mainly do cleaning liquid (digital and whiteboard), cable organizers. We have our own workshop to develop the tooling to control the costs. Others like travel items (lock, pillow, bag), we have been in this field for over 15 years.","We mainly do cleaning liquid (digital and whiteboard), cable organizers. We have our own workshop to develop the tooling to control the costs. Others like travel items (lock, pillow, bag), we have been in this field for over 15 years.",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1B-E23,hktdc.com Showcase Zone,,1,,,"Audio & Video Cleaning Supply, Mobile Phone Accessory, Tablet & Accessory, Bluetooth Car Kit, Video Game Accessory, Computer Peripherals & Accessory; Cleaning Liquid (Digital and Whiteboard), Cable Organizers; ODM, OEM, OBM","Audio & Video Cleaning Supply, Mobile Phone Accessory, Tablet & Accessory, Bluetooth Car Kit, Video Game Accessory, Computer Peripherals & Accessory; Cleaning Liquid (Digital and Whiteboard), Cable Organizers; ODM, OEM, OBM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005QCU6,2,https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03O2T07; https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03O2T07
"Rongta Trade Co., Ltd.","Rongta Trade Co., Ltd.",Chinese Mainland,"Computer Printer, Point of Sales (POS) Equipment & Technology","Computer Printer, Point of Sales (POS) Equipment & Technology",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1B-F16,Hall of Fame - Gadgets World,,1,,,"Computer Printer, Point of Sales (POS) Equipment & Technology; Thermal printer, Barcode printer, POS terminal, PDA, Label scale, AI scale; OBM, ODM, OEM","Computer Printer, Point of Sales (POS) Equipment & Technology; Thermal printer, Barcode printer, POS terminal, PDA, Label scale, AI scale; OBM, ODM, OEM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005Q5TG,2,https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03NMZWD; https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03NMZWD
"GuangDong Topleo Technology Co., Ltd.","GuangDong Topleo Technology Co., Ltd.",Chinese Mainland,"Topleo is a professional high-tech enterprise with independent R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.","Topleo is a professional high-tech enterprise with independent R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1D-A08,Hall of Fame - Digital Entertainment,Cantonese Business Go Global,1,,,"Projector, Set-top Box, Video Game Accessory, Remote Control; Topleo is a professional high-tech enterprise with independent R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.; ODM, Others, OEM","Projector, Set-top Box, Video Game Accessory, Remote Control; Topleo is a professional high-tech enterprise with independent R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.; ODM, Others, OEM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005Q4NZ,2,https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03OGNLM; https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03OGNLM
Shenzhen Unique Scales Co Ltd,Shenzhen Unique Scales Co Ltd,Chinese Mainland,"Electronic Kitchen Scale, Smart Home, Electronic Bathroom Scale, Consumer Apps, Electronic Measuring Device, Activity Fitness Tracker, Electronic Gadget","Electronic Kitchen Scale, Smart Home, Electronic Bathroom Scale, Consumer Apps, Electronic Measuring Device, Activity Fitness Tracker, Electronic Gadget",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1C-D17,Hall of Fame - Gadgets World,,1,,,"Electronic Kitchen Scale, Smart Home, Electronic Bathroom Scale, Consumer Apps, Electronic Measuring Device, Activity Fitness Tracker, Electronic Gadget; Smart Scale, Bathroom Scale, Kitchen Scale; OEM, ODM","Electronic Kitchen Scale, Smart Home, Electronic Bathroom Scale, Consumer Apps, Electronic Measuring Device, Activity Fitness Tracker, Electronic Gadget; Smart Scale, Bathroom Scale, Kitchen Scale; OEM, ODM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005QJS5,2,https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03MTAMW; https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03MTAMW
"Dongguan Saiyo Electronics Industry Co., Ltd.","Dongguan Saiyo Electronics Industry Co., Ltd.",Chinese Mainland,"Saiyo Electronics Industrial Co. Ltd. The company has a series of imported advanced equipment,is alarge electronics business enterprise with product development,manufacture and sells .The main products are TWS earphone, Bluetooth headphone, Walkman earphones,headphones, PC headphones,microphones,loudspeakers andother media products. With the outstanding production technique,the precise qualitymanagement system and perfect after-sales service process, products are very popular in Europe, America, Southeast Asia, South America and region of middle east. The target of the company is to build an international famousbrand, perfecting the quality of the commercial morals for eachcustomer, let more customers can enjoy the low consumption andhigh enjoyment! We are appreciated any precious suggestion or feedbackfrom our each esteemed customer and consumer. Also welcomeeach customer to contact us.We shall provide the satisfied servicein time for you.","Saiyo Electronics Industrial Co. Ltd. The company has a series of imported advanced equipment,is alarge electronics business enterprise with product development,manufacture and sells .The main products are TWS earphone, Bluetooth headphone, Walkman earphones,headphones, PC headphones,microphones,loudspeakers andother media products. With the outstanding production technique,the precise qualitymanagement system and perfect after-sales service process, products are very popular in Europe, America, Southeast Asia, South America and region of middle east. The target of the company is to build an international famousbrand, perfecting the quality of the commercial morals for eachcustomer, let more customers can enjoy the low consumption andhigh enjoyment! We are appreciated any precious suggestion or feedbackfrom our each esteemed customer and consumer. Also welcomeeach customer to contact us.We shall provide the satisfied servicein time for you.",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1D-D19,hktdc.com Showcase Zone,Cantonese Business Go Global,1,,,"Earphone, Microphone, MP3 Player, Audio Speaker, Hi-Fi Equipment; Headphones,Earphones,Bluetooth headphones etc.electronics products; OEM, ODM","Earphone, Microphone, MP3 Player, Audio Speaker, Hi-Fi Equipment; Headphones,Earphones,Bluetooth headphones etc.electronics products; OEM, ODM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005QELV,0,
"Ninghai Yisen Daily Use Co., Ltd.","Ninghai Yisen Daily Use Co., Ltd.",Chinese Mainland,"Lanterns & Flashlights - B/O, Power Bank","Lanterns & Flashlights - B/O, Power Bank",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1A-D25,hktdc.com Showcase Zone,,1,,,"Lanterns & Flashlights - B/O, Power Bank; 头灯，工作灯，手电筒; OEM, ODM","Lanterns & Flashlights - B/O, Power Bank; 头灯，工作灯，手电筒; OEM, ODM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005QEBP,0,
Oxygen Ltd,Oxygen Ltd,Hong Kong,"OXYGEN is a member of Interforce Group engaged in concept, design, development, production and quality control of: Electronic products (audio, video). The Group develops its own product line in these activities integrating in-house its own design, engineering, quality and process control.","OXYGEN is a member of Interforce Group engaged in concept, design, development, production and quality control of: Electronic products (audio, video). The Group develops its own product line in these activities integrating in-house its own design, engineering, quality and process control.",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1E-C02,Hall of Fame - Digital Entertainment,,1,,,"Turntable, AM / FM Radio, Digital Audio System, Cassette Player, Compact Disc Player, Audio Speaker, Speaker, Wireless Speaker, MP3 Player, Headphone; Clock Radio, Radio, Hand Crank Solar Radio, Jobsite Radio, Wireless Speaker, Boombox, CD/MP3 Player, Cassette Recorder, Walkman, Lighting Audio, Micro-System, DAB/DAB+ Products, Wi-Fi Speaker, Party Box, Alarm Clock, Micro System, wireless charging; ODM, OEM","Turntable, AM / FM Radio, Digital Audio System, Cassette Player, Compact Disc Player, Audio Speaker, Speaker, Wireless Speaker, MP3 Player, Headphone; Clock Radio, Radio, Hand Crank Solar Radio, Jobsite Radio, Wireless Speaker, Boombox, CD/MP3 Player, Cassette Recorder, Walkman, Lighting Audio, Micro-System, DAB/DAB+ Products, Wi-Fi Speaker, Party Box, Alarm Clock, Micro System, wireless charging; ODM, OEM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005M63L,2,https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03OL6TF; https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03OL6TF
AGreen Marketing Limited,AGreen Marketing Limited,Hong Kong,"TOUCHBeauty is an international brand established in 1999 and is available in over 80 countries and regions. With 24 years of experience in the beauty industry, TOUCHBeauty has been focusing on design, R&D, marketing and sales of Beauty & Personal Care Devices. TOUCHBeauty invented the first Heated Eyelash Curler in 1999 and starting the company's keen for technological innovation. We established professional relationships with CX, Lufthansa, Trony, and other international well-known brands, and became a long term and strategic parnter with NITORI, TJMaxx, Walmart, Boots etc. retail giants. Our mission is to provide healthy & valuable beauty & personal care services for beauty lovers across the globe, we will continue to enhance the brand influence, helping people to feel beautiful & confident. Our vision is to continue to be the industry leaders, create a world-reowned brand and build a longevous enterprise","TOUCHBeauty is an international brand established in 1999 and is available in over 80 countries and regions. With 24 years of experience in the beauty industry, TOUCHBeauty has been focusing on design, R&D, marketing and sales of Beauty & Personal Care Devices. TOUCHBeauty invented the first Heated Eyelash Curler in 1999 and starting the company's keen for technological innovation. We established professional relationships with CX, Lufthansa, Trony, and other international well-known brands, and became a long term and strategic parnter with NITORI, TJMaxx, Walmart, Boots etc. retail giants. Our mission is to provide healthy & valuable beauty & personal care services for beauty lovers across the globe, we will continue to enhance the brand influence, helping people to feel beautiful & confident. Our vision is to continue to be the industry leaders, create a world-reowned brand and build a longevous enterprise",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1B-E14,hktdc.com Showcase Zone,,1,,,"Facial Steamer, Electric Nose and Ear Trimmer, Lady Shaver, Hair Dryer, Massager, Men's Shaver, Electric Epilator, Nail Dryer and Nail Polisher; TOUCHBeauty has 6 product categories including beauty devices, men & ladies' grooming tools, hair care devices, body care devices & manicure/ pedicure tools. TOUCHBeauty will continue to help consumers to pursue beauty and love for life!; ODM, OBM","Facial Steamer, Electric Nose and Ear Trimmer, Lady Shaver, Hair Dryer, Massager, Men's Shaver, Electric Epilator, Nail Dryer and Nail Polisher; TOUCHBeauty has 6 product categories including beauty devices, men & ladies' grooming tools, hair care devices, body care devices & manicure/ pedicure tools. TOUCHBeauty will continue to help consumers to pursue beauty and love for life!; ODM, OBM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005M64I,2,https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03OJ8DP; https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03OJ8DP
"Dongguan Luhong Electroacoustic Technology Co., Ltd","Dongguan Luhong Electroacoustic Technology Co., Ltd",Chinese Mainland,"Speaker, Video Game Accessory, Audio Speaker, Set-top Box, Electronic Gadget, Remote Control","Speaker, Video Game Accessory, Audio Speaker, Set-top Box, Electronic Gadget, Remote Control",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1C-C14,Hall of Fame - Gadgets World,Cantonese Business Go Global,1,,,"Speaker, Video Game Accessory, Audio Speaker, Set-top Box, Electronic Gadget, Remote Control; Bluetooth Headset; OEM, ODM, OBM","Speaker, Video Game Accessory, Audio Speaker, Set-top Box, Electronic Gadget, Remote Control; Bluetooth Headset; OEM, ODM, OBM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005QMXN,2,https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03OQHBM; https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03OQHBM
Guangzhou Rigal Electronics Company Limited,Guangzhou Rigal Electronics Company Limited,Chinese Mainland,"Home Theater, Hi-Fi Equipment","Home Theater, Hi-Fi Equipment",,Exhibitor,Hong Kong Electronics Fair (Autumn Edition) 2025,1E-E02,Hall of Fame - Digital Entertainment,Cantonese Business Go Global,1,,,"Home Theater, Hi-Fi Equipment; Projecter and Accessories; OEM, ODM","Home Theater, Hi-Fi Equipment; Projecter and Accessories; OEM, ODM",https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S005RCYU,2,https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03O540W; https://www.hktdc.com/event/hkelectronicsfairae/en/product/1Z03O540W
