NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Rechargeable Portable Battery Speaker KOLAV-D2806,Rechargeable Portable Battery Speaker KOLAV-D2806,20 GP : 463sets; 40 GP : 960sets; 40 HQ : 1126sets,20 GP : 463sets; 40 GP : 960sets; 40 HQ : 1126sets,,,https://sourcing-media.hktdc.com/product-original/Rechargeable-20Portable-20Battery-20Speaker-20KOLAV-D2806/0caa8e5810374b72a82be416a545981d; https://sourcing-media.hktdc.com/product-original/Rechargeable-20Portable-20Battery-20Speaker-20KOLAV-D2806/7af4414bb68d45c6ab2b11d12729f64a,"Guangzhou Hualiang Xinxing Electronic Manufacturing Co., Ltd.","Karaoke Equipment, Hi-Fi Equipment, Audio Speaker; speaker; Others, OBM, OEM, ODM","Karaoke Equipment, Hi-Fi Equipment, Audio Speaker; speaker; Others, OBM, OEM, ODM"
Oral Irrigator,Oral Irrigator,Oral Irrigator,Oral Irrigator,,,,"Shenzhen Risun Technology Co., Ltd.","Electric Toothbrush; Electric Toothbrushes, Dental Rinsers, Teeth Whitening Devices; ODM, OEM","Electric Toothbrush; Electric Toothbrushes, Dental Rinsers, Teeth Whitening Devices; ODM, OEM"
Phone Screen Cleaner,Phone Screen Cleaner,1. 70 ml HDPE bottle; 2. 15*15cm microfiber cloth; #screen cleaner; #phone screen cleaner,1. 70 ml HDPE bottle; 2. 15*15cm microfiber cloth; #screen cleaner; #phone screen cleaner,,,,"Ningbo SKL International Co., Ltd.","Audio & Video Cleaning Supply, Mobile Phone Accessory, Tablet & Accessory, Bluetooth Car Kit, Video Game Accessory, Computer Peripherals & Accessory; Cleaning Liquid (Digital and Whiteboard), Cable Organizers; ODM, OEM, OBM","Audio & Video Cleaning Supply, Mobile Phone Accessory, Tablet & Accessory, Bluetooth Car Kit, Video Game Accessory, Computer Peripherals & Accessory; Cleaning Liquid (Digital and Whiteboard), Cable Organizers; ODM, OEM, OBM"
A4 MOBILE THERML PRINTER,A4 MOBILE THERML PRINTER,"The A4 Portable Thermal Printer delivers instant, wireless printing anywhere – compact, durable, and packed with smart features for professional results on the go","The A4 Portable Thermal Printer delivers instant, wireless printing anywhere – compact, durable, and packed with smart features for professional results on the go",,,,"Rongta Trade Co., Ltd.","Computer Printer, Point of Sales (POS) Equipment & Technology; Thermal printer, Barcode printer, POS terminal, PDA, Label scale, AI scale; OBM, ODM, OEM","Computer Printer, Point of Sales (POS) Equipment & Technology; Thermal printer, Barcode printer, POS terminal, PDA, Label scale, AI scale; OBM, ODM, OEM"
Topleo Android Tv Box ATV Android 10 H313 Custom logo Dream Smart Set Top Box Certificado Stb Tv Box Android 4k,Topleo Android Tv Box ATV Android 10 H313 Custom logo Dream Smart Set Top Box Certificado Stb Tv Box Android 4k,Topleo Android Tv Box ATV Android 10 H313 Custom logo Dream Smart Set Top Box Certificado Stb Tv Box Android 4k,Topleo Android Tv Box ATV Android 10 H313 Custom logo Dream Smart Set Top Box Certificado Stb Tv Box Android 4k,,,https://sourcing-media.hktdc.com/product-original/Topleo-20Android-20Tv-20Box-20ATV-20Android-2010-20H313-20Custom-20logo-20Dream-20Smart-20Set-20Top-20Box-20Certificado-20Stb-20Tv-20Box-20Android-204k/e3fbde0479374bf696472b9711626dd6; https://sourcing-media.hktdc.com/product-original/Topleo-20Android-20Tv-20Box-20ATV-20Android-2010-20H313-20Custom-20logo-20Dream-20Smart-20Set-20Top-20Box-20Certificado-20Stb-20Tv-20Box-20Android-204k/98f5fcda83bf43aaa1286fd63029aeca,"GuangDong Topleo Technology Co., Ltd.","Projector, Set-top Box, Video Game Accessory, Remote Control; Topleo is a professional high-tech enterprise with independent R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.; ODM, Others, OEM","Projector, Set-top Box, Video Game Accessory, Remote Control; Topleo is a professional high-tech enterprise with independent R&D,production lines,marketing,after services department.We specialize Tv Box & Projector OEM/ODM solution.; ODM, Others, OEM"
CF597BLE+WiFi,CF597BLE+WiFi,"WIFI, 蓝牙连接, 测水分, 人体脂肪与水份测试, 测体重, 测脂肪, 测卡路里","WIFI, 蓝牙连接, 测水分, 人体脂肪与水份测试, 测体重, 测脂肪, 测卡路里",,,,Shenzhen Unique Scales Co Ltd,"Electronic Kitchen Scale, Smart Home, Electronic Bathroom Scale, Consumer Apps, Electronic Measuring Device, Activity Fitness Tracker, Electronic Gadget; Smart Scale, Bathroom Scale, Kitchen Scale; OEM, ODM","Electronic Kitchen Scale, Smart Home, Electronic Bathroom Scale, Consumer Apps, Electronic Measuring Device, Activity Fitness Tracker, Electronic Gadget; Smart Scale, Bathroom Scale, Kitchen Scale; OEM, ODM"
Power Station Speaker,Power Station Speaker,"Wireless connection, NFC & stereo-pairing; FM/AM/SW/WB PLL Radio (30 FM preset stations); Negative LCD display with black masking; FM swivel Rubber antenna; 19 x Control keys, 1 x master volume & 2 x mic volume knobs; Clock, Sleep, Snooze & Alarm function; Emergency siren & alert white flash light mode; AC & DC outlet power on/off; Output power: mono 60W RMS in BT/AUX mode & 30W RMS in radio mode; 1 x 8'' speaker external magnet + 1 x 1.5” tweeter + 2 x 6.5'' speaker membrane; Inverter 1200 W Pure Sine Wave; Built-in power board 400 SMPS, (fully charging time less than 4hrs); Built-in rechargeable LiFePO4 battery 1200Wh; 2 x Aux-in jack 3.5mm; 2 x Mic jack; 1 x USB-C with PD fast charging,100W MAX; 1 x USB-C output 5V/1A; 2 x USB-A support QC fast charging, 30W MAX; 2 x AC socket outlet with water proof cover, 3 Pin with grounding; 1 x Cigarette lighter plug outlet; 2 x DC OUT 12 V; 1 x AC connector to recharge the device; 1 x DC IN 12 V for car charger; Anti-Choc, Splash proof IPX4; Detachable Rubber AC cord with 3-pin; Roll up AC cord bracket on the back; Cradle cavity for table or smartphone; Telescopic pulling single pole handle; 2 x Roller quad wheels 64mm; Night light with brightness control on the left & right side; You're invited to visit our website at www.oxygen-ltd.com for more information on our product range","Wireless connection, NFC & stereo-pairing; FM/AM/SW/WB PLL Radio (30 FM preset stations); Negative LCD display with black masking; FM swivel Rubber antenna; 19 x Control keys, 1 x master volume & 2 x mic volume knobs; Clock, Sleep, Snooze & Alarm function; Emergency siren & alert white flash light mode; AC & DC outlet power on/off; Output power: mono 60W RMS in BT/AUX mode & 30W RMS in radio mode; 1 x 8'' speaker external magnet + 1 x 1.5” tweeter + 2 x 6.5'' speaker membrane; Inverter 1200 W Pure Sine Wave; Built-in power board 400 SMPS, (fully charging time less than 4hrs); Built-in rechargeable LiFePO4 battery 1200Wh; 2 x Aux-in jack 3.5mm; 2 x Mic jack; 1 x USB-C with PD fast charging,100W MAX; 1 x USB-C output 5V/1A; 2 x USB-A support QC fast charging, 30W MAX; 2 x AC socket outlet with water proof cover, 3 Pin with grounding; 1 x Cigarette lighter plug outlet; 2 x DC OUT 12 V; 1 x AC connector to recharge the device; 1 x DC IN 12 V for car charger; Anti-Choc, Splash proof IPX4; Detachable Rubber AC cord with 3-pin; Roll up AC cord bracket on the back; Cradle cavity for table or smartphone; Telescopic pulling single pole handle; 2 x Roller quad wheels 64mm; Night light with brightness control on the left & right side; You're invited to visit our website at www.oxygen-ltd.com for more information on our product range",,,,Oxygen Ltd,"Turntable, AM / FM Radio, Digital Audio System, Cassette Player, Compact Disc Player, Audio Speaker, Speaker, Wireless Speaker, MP3 Player, Headphone; Clock Radio, Radio, Hand Crank Solar Radio, Jobsite Radio, Wireless Speaker, Boombox, CD/MP3 Player, Cassette Recorder, Walkman, Lighting Audio, Micro-System, DAB/DAB+ Products, Wi-Fi Speaker, Party Box, Alarm Clock, Micro System, wireless charging; ODM, OEM","Turntable, AM / FM Radio, Digital Audio System, Cassette Player, Compact Disc Player, Audio Speaker, Speaker, Wireless Speaker, MP3 Player, Headphone; Clock Radio, Radio, Hand Crank Solar Radio, Jobsite Radio, Wireless Speaker, Boombox, CD/MP3 Player, Cassette Recorder, Walkman, Lighting Audio, Micro-System, DAB/DAB+ Products, Wi-Fi Speaker, Party Box, Alarm Clock, Micro System, wireless charging; ODM, OEM"
Portable Hair Regrowth Brush,Portable Hair Regrowth Brush,"Portable Hair Regrowth Brush - It features a protective cover for convenient portability, perfect for on-the-go scalp care. A handle version from the same series is also available for various usage scenarios.; Main Functions: 1) Prevent hair loss 2) Revitalize for hair re-growth","Portable Hair Regrowth Brush - It features a protective cover for convenient portability, perfect for on-the-go scalp care. A handle version from the same series is also available for various usage scenarios.; Main Functions: 1) Prevent hair loss 2) Revitalize for hair re-growth",,,https://sourcing-media.hktdc.com/product-original/Portable-20Hair-20Regrowth-20Brush/a2c53c8e660d48d6a81e74a41e7b3cb0; https://sourcing-media.hktdc.com/product-original/Portable-20Hair-20Regrowth-20Brush/c2bb670a2d064886a6aa92fbecb901e3,AGreen Marketing Limited,"Facial Steamer, Electric Nose and Ear Trimmer, Lady Shaver, Hair Dryer, Massager, Men's Shaver, Electric Epilator, Nail Dryer and Nail Polisher; TOUCHBeauty has 6 product categories including beauty devices, men & ladies' grooming tools, hair care devices, body care devices & manicure/ pedicure tools. TOUCHBeauty will continue to help consumers to pursue beauty and love for life!; ODM, OBM","Facial Steamer, Electric Nose and Ear Trimmer, Lady Shaver, Hair Dryer, Massager, Men's Shaver, Electric Epilator, Nail Dryer and Nail Polisher; TOUCHBeauty has 6 product categories including beauty devices, men & ladies' grooming tools, hair care devices, body care devices & manicure/ pedicure tools. TOUCHBeauty will continue to help consumers to pursue beauty and love for life!; ODM, OBM"
7.1.4 CH soundbar,7.1.4 CH soundbar,"At Dongguan Luhuong Electroacoustic Technology, we understand that modern home entertainment demands an audio experience as dynamic and detailed as the visuals. Leveraging two decades of expertise, we proudly introduce our premium 7.1.4 Channel Soundbar System , engineered to deliver true cinematic immersion right into the living room. This system is designed for families and enthusiasts who desire the ultimate audio upgrade without the complexity of traditional ceiling installations.; The Power of 7.1.4: True 3D Audio Immersion; The 7.1.4 configuration represents the pinnacle of home audio technology, surpassing standard soundbars by integrating dedicated height channels crucial for formats like Dolby Atmos and DTS:X. This system comprises four distinct components working in perfect harmony: one main soundbar , a dedicated subwoofer , and two rear satellite speakers (surrounds) .; 7 Base Channels: Provides rich, horizontal sound directionality (front, center, and side).; 1 Subwoofer: Delivers powerful, rumbling bass essential for action movies and deep music tracks.; 4 Height Channels: Utilizes up-firing speakers (typically within the main bar and the surrounds) to bounce sound off the ceiling, creating an overhead sound dome. You won't just hear the helicopter pass; you'll hear it pass above you.; The separation achieved by the two discrete surround speakers is key. They envelop the listener, providing genuine rear sound effects and pulling the user into the center of the action, making it ideal for transforming any family movie night into a blockbuster event.; Engineered for Premium Home Use; Our 7.1.4 system is optimized for seamless integration into a modern family environment. While delivering complex, cinema-grade performance, the setup is straightforward. The main soundbar manages the core processing, while the subwoofer and surrounds connect reliably to establish a full, expansive sound field instantly. The sleek, cohesive design of all three units ensures they complement high-end televisions and décor.; From a manufacturing perspective, our company's two decades of experience and state-of-the-art facility allow us to achieve this high channel count and acoustic fidelity at a price point that offers exceptional profitability for our partners. The 7.1.4 system is not just a high-performance product; it is a highly competitive and strategic addition to any premium audio catalog. We invite you to explore how this flagship system can redefine the home cinema experience for your customers.","At Dongguan Luhuong Electroacoustic Technology, we understand that modern home entertainment demands an audio experience as dynamic and detailed as the visuals. Leveraging two decades of expertise, we proudly introduce our premium 7.1.4 Channel Soundbar System , engineered to deliver true cinematic immersion right into the living room. This system is designed for families and enthusiasts who desire the ultimate audio upgrade without the complexity of traditional ceiling installations.; The Power of 7.1.4: True 3D Audio Immersion; The 7.1.4 configuration represents the pinnacle of home audio technology, surpassing standard soundbars by integrating dedicated height channels crucial for formats like Dolby Atmos and DTS:X. This system comprises four distinct components working in perfect harmony: one main soundbar , a dedicated subwoofer , and two rear satellite speakers (surrounds) .; 7 Base Channels: Provides rich, horizontal sound directionality (front, center, and side).; 1 Subwoofer: Delivers powerful, rumbling bass essential for action movies and deep music tracks.; 4 Height Channels: Utilizes up-firing speakers (typically within the main bar and the surrounds) to bounce sound off the ceiling, creating an overhead sound dome. You won't just hear the helicopter pass; you'll hear it pass above you.; The separation achieved by the two discrete surround speakers is key. They envelop the listener, providing genuine rear sound effects and pulling the user into the center of the action, making it ideal for transforming any family movie night into a blockbuster event.; Engineered for Premium Home Use; Our 7.1.4 system is optimized for seamless integration into a modern family environment. While delivering complex, cinema-grade performance, the setup is straightforward. The main soundbar manages the core processing, while the subwoofer and surrounds connect reliably to establish a full, expansive sound field instantly. The sleek, cohesive design of all three units ensures they complement high-end televisions and décor.; From a manufacturing perspective, our company's two decades of experience and state-of-the-art facility allow us to achieve this high channel count and acoustic fidelity at a price point that offers exceptional profitability for our partners. The 7.1.4 system is not just a high-performance product; it is a highly competitive and strategic addition to any premium audio catalog. We invite you to explore how this flagship system can redefine the home cinema experience for your customers.",,,,"Dongguan Luhong Electroacoustic Technology Co., Ltd","Speaker, Video Game Accessory, Audio Speaker, Set-top Box, Electronic Gadget, Remote Control; Bluetooth Headset; OEM, ODM, OBM","Speaker, Video Game Accessory, Audio Speaker, Set-top Box, Electronic Gadget, Remote Control; Bluetooth Headset; OEM, ODM, OBM"
C21 Mini Portable  Projector Smart Home Theater High Quality  720p Support 1080P Hd  Android Projector,C21 Mini Portable  Projector Smart Home Theater High Quality  720p Support 1080P Hd  Android Projector,"If you are interested in our projector, feel free to send us an enquiry for more details!","If you are interested in our projector, feel free to send us an enquiry for more details!",,,https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/3f67357951af4f90a94b811f0e2ed84d; https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/d716b18b9eed432a807b5e3f8b48f6f1; https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/62dd322999be49639adfa9734fc67a3d; https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/98ca1ce1f3854ce28b33e30840bca945; https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/0951b5030ce54e8e82701e959d16e742; https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/10f6c94d625e478c9ece976dd421f14e; https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/b1e1ba790aa945128b9caa8a02762903; https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/04bcb6b472c54f08bdc8c504b45dfcf7; https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/701df6836482401e8dcbfd7ce7df6980; https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/22f3bb1287174b598915cecd0ccf7b90; https://sourcing-media.hktdc.com/product-original/C21-20Mini-20Portable-20-20Projector-20Smart-20Home-20Theater-20High-20Quality-20-20720p-20Support-201080P-20Hd-20-20Android-20Projector-20/225b3acd571e462a917ee0166a62dc89,Guangzhou Rigal Electronics Company Limited,"Home Theater, Hi-Fi Equipment; Projecter and Accessories; OEM, ODM","Home Theater, Hi-Fi Equipment; Projecter and Accessories; OEM, ODM"
