booth_code,x,y
1E-F32,1355,55
1E-F30,1357,88
1E-F28,1357,120
1E-F24,1360,159
1E-F31,1303,53
1E-F29,1302,86
1E-F27,1304,120
1E-E24,1291,159
1E-E28,1273,117
1E-E30,1276,89
1E-E32,1273,52
1E-E31,1221,52
1E-E29,1219,83
1E-E27,1222,113
1E-D24,1208,158
1E-D28,1188,114
1E-D32,1189,51
1E-C24,1121,162
1E-C28,1107,100
1E-C32,1109,53
1E-C31,1055,52
1E-C27,1055,103
1E-B24,1039,161
1E-B28,1029,103
1E-A32,1021,56
1E-A24,957,155
1E-B27,972,112
1E-B29,975,84
1E-B31,972,53
1E-A28,939,113
1E-A32,941,52
1D-D24,878,164
1D-D28,854,117
1D-D30,858,68
1D-C24,790,146
1D-D29,804,88
1D-D31,803,56
1D-D32,777,56
1D-D30,774,89
1D-B24,706,143
1D-C29,720,88
1D-C31,723,56
1D-B30,693,68
1D-B27,642,86
1D-A24,622,165
1C-F24,540,161
1C-E24,451,160
1C-E28,437,81
1C-E23,388,176
1C-E25,386,146
1C-E27,387,116
1C-E29,385,85
1C-E31,388,52
1C-F27,473,114
1C-F29,472,83
1C-F31,473,56
1C-D24,355,175
1C-D26,356,144
1C-D28,360,118
1C-D30,356,88
1C-D32,358,57
1C-D29,307,68
1C-C32,276,55
1C-C27,306,113
1C-C28,275,115
1C-C24,289,157
1C-B27,215,160
1C-B28,192,121
1C-B30,192,91
1C-B32,196,58
1C-A24,132,161
1C-B27,138,83
1C-A28,107,81
1C-A27,57,99
1C-A23,56,160
1E-F18,1360,264
1E-F16,1357,327
1E-F14,1355,354
1E-F12,1356,383
1E-F10,1356,416
1E-F08,1358,447
1E-F02,1362,502
1E-F17,1303,266
1E-F15,1304,326
1E-F13,1308,354
1E-F11,1307,384
1E-F09,1306,416
1E-F07,1303,445
1E-E02,1291,502
1E-E08,1274,430
1E-E12,1276,381
1E-E14,1274,290
1E-D18,1203,255
1E-D16,1190,316
1E-D12,1192,374
1E-D08,1193,428
1E-D02,1210,501
1E-E15,1225,318
1E-E13,1221,348
1E-E11,1223,374
1E-E07,1223,429
1E-C20,1118,250
1E-D17,1140,296
1E-D07,1139,425
1E-C02,1121,506
1E-C08,1104,422
1E-C12,1109,350
1E-C18,1107,292
1E-B20,1045,249
1E-C17,1054,298
1E-C13,1055,338
1E-C11,1056,381
1E-B02,1044,500
1E-B08,1041,426
1E-B12,1025,378
1E-B14,1029,339
1E-B18,1024,296
1E-A20,957,244
1E-B17,970,290
1E-B15,970,320
1E-B13,971,347
1E-B11,972,376
1E-A02,957,510
1E-A08,962,428
1E-A12,942,380
1E-A16,947,318
1E-A18,940,286
1D-D20,878,247
1E-A17,887,294
1E-A07,889,428
1D-D02,867,501
1D-D08,859,425
1D-D12,864,383
1D-D14,857,352
1D-D16,860,308
1D-D13,807,350
1D-D09,806,396
1D-C02,793,493
1D-C10,775,389
1D-C14,770,352
1D-C16,790,307
1D-C20,791,252
1D-A18,705,248
1D-B20,709,248
1D-C15,721,310
1D-C11,725,364
1D-B18,691,292
1D-B16,693,323
1D-B14,691,353
1D-B12,690,383
1D-B08,705,431
1D-B02,711,507
1D-A02,626,502
1D-B07,640,440
1D-B09,636,410
1D-B11,636,367
1D-B15,636,326
1D-A18,621,262
1D-A08,609,426
1C-F18,522,266
1C-F10,524,412
1C-F08,526,444
1C-F06,524,472
1D-A21,554,238
1D-A19,553,264
1D-A17,557,291
1D-A09,557,412
1D-A07,555,442
1D-A05,552,477
1D-F02,544,515
1C-F07,472,445
1C-F09,471,417
1C-F11,467,364
1C-F15,466,323
1C-F17,473,295
1C-E20,453,245
1C-E18,441,292
1C-E16,444,323
1C-E14,442,348
1C-E12,444,381
1C-E08,435,429
1C-E02,453,504
1C-D18,373,267
1C-E13,387,336
1C-E11,389,381
1C-E07,392,431
1C-D02,376,492
1C-D08,357,441
1C-D10,357,415
1C-D12,360,380
1C-D14,373,340
1C-C20,293,245
1C-C02,289,493
1C-C10,294,393
1C-C13,305,345
1C-D15,308,316
1C-D17,306,286
1C-C18,275,284
1C-C16,278,315
1C-B18,208,264
1C-B16,194,323
1C-B14,189,356
1C-B12,189,382
1C-B10,195,412
1C-B02,208,487
1C-C09,225,410
1C-A20,130,255
1C-A18,111,298
1C-A16,108,325
1C-A14,109,353
1C-A12,110,380
1C-A10,112,418
1C-A08,113,447
1C-A02,121,504
1C-B17,139,292
1C-B11,140,367
1C-B07,138,431
1C-A19,56,249
1C-A17,53,300
1C-A15,53,323
1C-A13,59,353
1C-A11,59,383
1C-A09,55,409
1C-A07,51,442
1C-A01,55,502
1CON-039,190,686
