NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
IP44 Solar Wall Lamp with PIR Sensor - WT34011,IP44 Solar Wall Lamp with PIR Sensor - WT34011,"Product advantages; ✅ two sensor mode options:; Please refer to the detailed instructions below; ✅ fast dual charging solution:; Solar charging only takes 7.5 hours (similar products require 8 to 10 hours).; USB-C fast charging only takes 4 hours, no worries on rainy days; ✅ all-weather durable design:; IP44 waterproof, aluminum tube body and PC cover, suitable for most outdoor conditions; It opens and closes automatically at dusk with no manual intervention; ✅ easy to install and low maintenance cost:; No cables, no electricians required. One person can install it within 5 minutes; The battery can be replaced independently, saving maintenance/complaint costs; IP44 solar panel path light with PIR sensor; Method of operation; Version One; Mode 1: 50LM on at night and off during the day.; Mode 2: 50LM constant light at night - 400LM when sensing human - 25 seconds to 50LM constant light; Version Two; Mode 1: No light at night - 400lm when sensing human - returns to no light for 25 seconds; Mode 2: 50LM constant light at night - 400LM when sensing - restores to 50LM constant light after 25 seconds.; Note; The light-sensing function of solar panels only takes effect after the sun sets; The number of times M2 lights up depends on the battery power and the total battery power","Product advantages; ✅ two sensor mode options:; Please refer to the detailed instructions below; ✅ fast dual charging solution:; Solar charging only takes 7.5 hours (similar products require 8 to 10 hours).; USB-C fast charging only takes 4 hours, no worries on rainy days; ✅ all-weather durable design:; IP44 waterproof, aluminum tube body and PC cover, suitable for most outdoor conditions; It opens and closes automatically at dusk with no manual intervention; ✅ easy to install and low maintenance cost:; No cables, no electricians required. One person can install it within 5 minutes; The battery can be replaced independently, saving maintenance/complaint costs; IP44 solar panel path light with PIR sensor; Method of operation; Version One; Mode 1: 50LM on at night and off during the day.; Mode 2: 50LM constant light at night - 400LM when sensing human - 25 seconds to 50LM constant light; Version Two; Mode 1: No light at night - 400lm when sensing human - returns to no light for 25 seconds; Mode 2: 50LM constant light at night - 400LM when sensing - restores to 50LM constant light after 25 seconds.; Note; The light-sensing function of solar panels only takes effect after the sun sets; The number of times M2 lights up depends on the battery power and the total battery power",,,,"Ningbo Yaado Lighting Co., Ltd.","Table Lamp,Lawn Light,Indoor Lighting,Kitchen Lighting; LED table lamp, LED cabinet lamp, LED solar lamp, OEM & ODM; OEM, ODM","Table Lamp,Lawn Light,Indoor Lighting,Kitchen Lighting; LED table lamp, LED cabinet lamp, LED solar lamp, OEM & ODM; OEM, ODM"
High quality down light New arrival 10W 15W 20W 30W 40W SMD LED downlight,High quality down light New arrival 10W 15W 20W 30W 40W SMD LED downlight,"High quality down light new arrival 10W 15W 20W 30W 40W SMD LED downlight; Model No. : TD24B10C/TD24B15C/TD24B20C/ TD24B30C/ TD24B40C; Light Type :Downlight; Rated Power :10W/15W/20W/ 30W/40W; Voltage : 220-240V AC; Light efficacy: 90-100lm/w; Color Temperature : 3000K/3500K/ 4000K/ 5000K/6000K; Material : Aluminum  die-cast; Optic: Lens; Beam Angle : 100 °; CRI :80/ 90; Driver Options Non-dim/ Triac/ 1-10V/ Dali; Certification CE, RoHS certificated, 5 years warranty; Why  choose  us ?; Ronse down light five point features:; 1)Advanced constant current driver; 2)Professional thermal management.; 3)The downlight is no UV or IR radiation in the beam. No Toxic Mercury, lead, no air pollution.  Anti-shock, anti-moisture for the LED ceiling lights; 4) Both energy saving  &Environment friendly.; 5)Long lifespan, higher than 50,000H .; Four Delivery way  :; By Express: such as DHL, UPS, TNT, FEDEX etc. The dispatch time is about 3-5 days; Air Freight: when your order more than 100kgs which will be more economical than express.; Sea Freight: we will update sea freight once we know your sea port where goods will be delivered.; Agent designated by client: please tell us the contact detail of your shipping agent and we will arrange to deliver the items.; Our product main application :; hotel 、chain shop、museum、restaurant 、bar or  other need  high lighting contrast indoor  area.; About  Ronse:; Foshan Ronse Lighting Technology Co.,Ltd. is a high-tech company of R&D, Manufacturing,Marketing and Services in LED application lighting products,located in Danzao Town,Nanhai,Foshan ,Guangdong-the Economic Center of the Pearl River Delta , nearby international metropolis -Guangzhou and HongKong, convenient traffic. as a professional manufacturer with a long history,Our company has accumulated rich experience in research and development and marketing in this burgeoning led application lighting industry .; FAQ; Q1. Can I have a sample order for led light?; A: Yes, we welcome sample order to test and check quality. Mixed samples are acceptable.; If you want to know  further, welcome to contact us. We are   looking   forward  to  hear  from you .","High quality down light new arrival 10W 15W 20W 30W 40W SMD LED downlight; Model No. : TD24B10C/TD24B15C/TD24B20C/ TD24B30C/ TD24B40C; Light Type :Downlight; Rated Power :10W/15W/20W/ 30W/40W; Voltage : 220-240V AC; Light efficacy: 90-100lm/w; Color Temperature : 3000K/3500K/ 4000K/ 5000K/6000K; Material : Aluminum  die-cast; Optic: Lens; Beam Angle : 100 °; CRI :80/ 90; Driver Options Non-dim/ Triac/ 1-10V/ Dali; Certification CE, RoHS certificated, 5 years warranty; Why  choose  us ?; Ronse down light five point features:; 1)Advanced constant current driver; 2)Professional thermal management.; 3)The downlight is no UV or IR radiation in the beam. No Toxic Mercury, lead, no air pollution.  Anti-shock, anti-moisture for the LED ceiling lights; 4) Both energy saving  &Environment friendly.; 5)Long lifespan, higher than 50,000H .; Four Delivery way  :; By Express: such as DHL, UPS, TNT, FEDEX etc. The dispatch time is about 3-5 days; Air Freight: when your order more than 100kgs which will be more economical than express.; Sea Freight: we will update sea freight once we know your sea port where goods will be delivered.; Agent designated by client: please tell us the contact detail of your shipping agent and we will arrange to deliver the items.; Our product main application :; hotel 、chain shop、museum、restaurant 、bar or  other need  high lighting contrast indoor  area.; About  Ronse:; Foshan Ronse Lighting Technology Co.,Ltd. is a high-tech company of R&D, Manufacturing,Marketing and Services in LED application lighting products,located in Danzao Town,Nanhai,Foshan ,Guangdong-the Economic Center of the Pearl River Delta , nearby international metropolis -Guangzhou and HongKong, convenient traffic. as a professional manufacturer with a long history,Our company has accumulated rich experience in research and development and marketing in this burgeoning led application lighting industry .; FAQ; Q1. Can I have a sample order for led light?; A: Yes, we welcome sample order to test and check quality. Mixed samples are acceptable.; If you want to know  further, welcome to contact us. We are   looking   forward  to  hear  from you .",,,,Foshan Ronse Lighting Technology Co Ltd,"Spotlight,Downlight,Track Light,Office Lighting,Retail Lighting; Services
-Lighting products development, manufacture lighting engineering
-Customized lighting services
-OEM, ODM, SKD of empty housing.
-Flexible payment term for long term cooperation.
-Designated stock products for short delivery.; ODM, OEM","Spotlight,Downlight,Track Light,Office Lighting,Retail Lighting; Services
-Lighting products development, manufacture lighting engineering
-Customized lighting services
-OEM, ODM, SKD of empty housing.
-Flexible payment term for long term cooperation.
-Designated stock products for short delivery.; ODM, OEM"
Led Panel Light,Led Panel Light,"This panel light is replaced with different accessories to meet different installation methods (surface-mounted, recessed, and track-mounted) can help you reduce your inventory.; It is also can make 3CCT,with a complete intelligent functions,such as TUYA,  DALI and onstant current.; Full range of sizes, available in round  and square shapes (Five sizes:120-900mm).; High luminous efficiency, can make 100lm/W.; The design of the rotary buckle makes it easy to install.; #decorative light; #decoration light; #pendant light; #indoor lighting","This panel light is replaced with different accessories to meet different installation methods (surface-mounted, recessed, and track-mounted) can help you reduce your inventory.; It is also can make 3CCT,with a complete intelligent functions,such as TUYA,  DALI and onstant current.; Full range of sizes, available in round  and square shapes (Five sizes:120-900mm).; High luminous efficiency, can make 100lm/W.; The design of the rotary buckle makes it easy to install.; #decorative light; #decoration light; #pendant light; #indoor lighting",,,,"Xusheng Lighting Co., Ltd.","Ceiling Light,Wall Lamp,Chandelier,Spotlight,Downlight,Track Light,LED Lighting; Commercial Lights, Magnetic Lights, Smart System; OEM, ODM, OBM","Ceiling Light,Wall Lamp,Chandelier,Spotlight,Downlight,Track Light,LED Lighting; Commercial Lights, Magnetic Lights, Smart System; OEM, ODM, OBM"
LED REMOTE HEAD,LED REMOTE HEAD,Injection-molded thermoplastic ABS housing; aluminum base. SMD 1.2W LED head.  Input 3.6V-9.6V; application. Suitable for use in wet location. UL approved.,Injection-molded thermoplastic ABS housing; aluminum base. SMD 1.2W LED head.  Input 3.6V-9.6V; application. Suitable for use in wet location. UL approved.,,,,"Shaoxing Shangyu Mingji Plastic Co., Ltd.","Exit Light,LED Lighting,Emergency & Professional Lighting; LED Emergency Exit Sign / Lights Manufacturer, the products are exported to North America, South America, Middle East. All the products are UL approved.; OEM","Exit Light,LED Lighting,Emergency & Professional Lighting; LED Emergency Exit Sign / Lights Manufacturer, the products are exported to North America, South America, Middle East. All the products are UL approved.; OEM"
Athena Recessed Downlight Series,Athena Recessed Downlight Series,Athena Recessed Downlight Series,Athena Recessed Downlight Series,,,https://sourcing-media.hktdc.com/product-original/Athena-20Recessed-20Downlight-20Series/448095d242364c659a980fd3a08aa28a,"Shanghai Wellmax Lighting Industry Co.,Ltd.","Sensor Light,PAR Bulb,LED Bulb,Outdoor Floodlight,Indoor Lighting,Solar Lights; LED bulb experts; ODM, OEM","Sensor Light,PAR Bulb,LED Bulb,Outdoor Floodlight,Indoor Lighting,Solar Lights; LED bulb experts; ODM, OEM"
Santa Claus Christmas LED Light Decor - Red-Green Festive Tabletop Ornament with White Beard,Santa Claus Christmas LED Light Decor - Red-Green Festive Tabletop Ornament with White Beard,"Brighten up your holiday season with our Santa Claus Christmas LED Light, a charming decorative piece that captures the spirit of Christmas. This delightful figure features Santa's iconic red hat with a white pom-pom, a cheerful face with a plump red nose, and a bushy white beard that adds warmth to any setting. The Santa figure is dressed in a vibrant red suit with white cuffs, complemented by striking green gloves that create a classic festive color contrast.; Illuminated by energy-efficient LED strips, the Santa Claus light emits a soft yet vibrant glow in red, green, and white hues, perfect for creating a cozy holiday ambiance. The sturdy white square base ensures stable placement on any flat surface, while the durable construction guarantees long-lasting use throughout the holiday season and beyond.; Ideal for decorating mantels, shelves, office desks, or retail displays, this LED Santa light brings joy and festive cheer to homes, parties, and commercial spaces. Its low-power consumption makes it an eco-friendly choice for continuous seasonal decoration, while the eye-catching design is sure to delight both children and adults.","Brighten up your holiday season with our Santa Claus Christmas LED Light, a charming decorative piece that captures the spirit of Christmas. This delightful figure features Santa's iconic red hat with a white pom-pom, a cheerful face with a plump red nose, and a bushy white beard that adds warmth to any setting. The Santa figure is dressed in a vibrant red suit with white cuffs, complemented by striking green gloves that create a classic festive color contrast.; Illuminated by energy-efficient LED strips, the Santa Claus light emits a soft yet vibrant glow in red, green, and white hues, perfect for creating a cozy holiday ambiance. The sturdy white square base ensures stable placement on any flat surface, while the durable construction guarantees long-lasting use throughout the holiday season and beyond.; Ideal for decorating mantels, shelves, office desks, or retail displays, this LED Santa light brings joy and festive cheer to homes, parties, and commercial spaces. Its low-power consumption makes it an eco-friendly choice for continuous seasonal decoration, while the eye-catching design is sure to delight both children and adults.",,,,Evermore Enterprise (Zhejiang) Ltd,"Decorative Lamp,String Light,Strip Light,LED Lighting,Contemporary Light,Christmas Light; Star Iron Frame Home Decoration Light
Size:50*8*50cm covered with copper wire LED,total about 50 LEDs,500cm leading cable with IP44 transformer.
It can be used for outdoor,new design for 2023.; Others","Decorative Lamp,String Light,Strip Light,LED Lighting,Contemporary Light,Christmas Light; Star Iron Frame Home Decoration Light
Size:50*8*50cm covered with copper wire LED,total about 50 LEDs,500cm leading cable with IP44 transformer.
It can be used for outdoor,new design for 2023.; Others"
LED MAGNETIC FLOATING GIMBAL DOWNLIGHT,LED MAGNETIC FLOATING GIMBAL DOWNLIGHT,LED MAGNETIC FLOATING GIMBAL DOWNLIGHT,LED MAGNETIC FLOATING GIMBAL DOWNLIGHT,,,,"Adision Lighting (HK) Co., Limited","Wall Lamp,Spotlight,Downlight,Track Light,Lighting Accessories & Lamp Parts,Lighting Fixture,LED Lighting,LED Converter,LED Driver,LED Panel Light; Downlight, Wall lamp, Spot Lamp; ODM","Wall Lamp,Spotlight,Downlight,Track Light,Lighting Accessories & Lamp Parts,Lighting Fixture,LED Lighting,LED Converter,LED Driver,LED Panel Light; Downlight, Wall lamp, Spot Lamp; ODM"
SLIMO G4 Direct/Indirect LED Panel Light,SLIMO G4 Direct/Indirect LED Panel Light,"Sheenly Slimo is an all new panel light specially designed for suspended installation. Thanks to its solid structure that Slimo does not sack or bend like normal panel light when suspended. Slimo is also designed to give direct, indirect light towards the ceiling and the ground, creating a harmonious and mood pleasing lighting experience. Suitable for offices, shopping areas.","Sheenly Slimo is an all new panel light specially designed for suspended installation. Thanks to its solid structure that Slimo does not sack or bend like normal panel light when suspended. Slimo is also designed to give direct, indirect light towards the ceiling and the ground, creating a harmonious and mood pleasing lighting experience. Suitable for offices, shopping areas.",,,https://sourcing-media.hktdc.com/product-original/SLIMO-20G4-20Direct-Indirect-20LED-20Panel-20Light/d3aec9fdcbde45f6975ab6f18cb9c333; https://sourcing-media.hktdc.com/product-original/SLIMO-20G4-20Direct-Indirect-20LED-20Panel-20Light/50a946c2622f4e99b21a9eb772c96112,"Sheenly Lighting Co., Ltd.","Ceiling Light,Downlight,Lighting Fixture,LED Lighting,LED Panel Light,High Bay Light,Indoor Lighting,Industrial Lighting,Office Lighting; Sheenly Lighting not only offers products but also the whole LEDlighting solution.; OBM, ODM","Ceiling Light,Downlight,Lighting Fixture,LED Lighting,LED Panel Light,High Bay Light,Indoor Lighting,Industrial Lighting,Office Lighting; Sheenly Lighting not only offers products but also the whole LEDlighting solution.; OBM, ODM"
track light pendant lamp chandelier down light led track lighting flexible track,track light pendant lamp chandelier down light led track lighting flexible track,LED Wall Washer led track lighting Flexible track light spotlight; Flexible Track Light System：Color Bridge Series; Committed to creating an innovative lighting system,LED Wall Washer led track lighting Flexible track light spotlight; Flexible Track Light System：Color Bridge Series; Committed to creating an innovative lighting system,,,https://sourcing-media.hktdc.com/product-original/-20track-20light-20pendant-20lamp-20chandelier-20down-20light-20led-20track-20lighting-20flexible-20track-20/b78d0cc56fd3437fbc0703ac2af29f2c; https://sourcing-media.hktdc.com/product-original/-20track-20light-20pendant-20lamp-20chandelier-20down-20light-20led-20track-20lighting-20flexible-20track-20/87ee276fedb44efebf94bfc889cf6401,Kte Electrical Limited,"Camping Light,Spotlight,Track Light,Lighting Fixture,LED Lighting,Outdoor Floodlight,Indoor Lighting,Contemporary Light,Office Lighting; Creative low-voltage module lamp with independent invention patent; ODM, OEM","Camping Light,Spotlight,Track Light,Lighting Fixture,LED Lighting,Outdoor Floodlight,Indoor Lighting,Contemporary Light,Office Lighting; Creative low-voltage module lamp with independent invention patent; ODM, OEM"
Node Connector,Node Connector,Node Connector,Node Connector,,,,"Shenzhen Coreshine Optoelectronics Co., Ltd.","LED Lighting,Industrial Lighting,Office Lighting,Retail Lighting; Coreshine linear lighting system is not a simple light, it is more a sophisticated lighting solution. With its advantage of energy-efficient, low maintance cost and convenient installation, it's very popular in industrial and commercial project light; OEM, ODM","LED Lighting,Industrial Lighting,Office Lighting,Retail Lighting; Coreshine linear lighting system is not a simple light, it is more a sophisticated lighting solution. With its advantage of energy-efficient, low maintance cost and convenient installation, it's very popular in industrial and commercial project light; OEM, ODM"
