booth_code,x,y
FORUM,279,85
5B-C28,398,76
5B-B27,460,84
5B-F28,708,132
5B-F24,712,206
5B-F31,639,74
5B-F29,640,116
5B-F27,648,155
5B-F23,639,208
5B-F20,708,332
5B-F19,647,326
5B-F18,712,391
5B-F15,647,408
5B-F16,710,423
5B-F14,713,463
5B-F13,644,463
5B-F12,705,502
5B-F11,637,506
5B-F10,710,539
5B-F09,641,537
5B-F08,712,579
5B-F06,715,618
5B-F05,641,595
5B-F02,703,670
5B-F01,637,665
5B-E02,601,669
5B-E06,603,615
5B-E08,599,575
5B-E10,606,537
5B-E12,606,499
5B-E14,603,466
5B-E16,603,398
5B-E20,599,337
5B-E24,602,231
5B-E26,605,192
5B-E28,603,156
5B-E30,598,112
5B-E32,605,80
5B-E27,539,151
5B-E25,537,195
5B-E23,533,233
5B-E21,537,315
5B-E19,537,350
5B-E17,540,392
5B-E15,536,422
5B-E13,535,461
5B-E11,533,503
5B-E09,529,541
5B-E05,533,600
5B-E01,533,665
5B-D02,497,668
5B-D06,499,610
5B-D08,498,562
5B-D01,433,668
5B-D05,429,602
5B-D07,432,544
5B-D10,497,531
5B-D11,429,502
5B-D12,502,492
5B-D13,430,461
5B-D14,501,453
5B-D15,429,423
5B-D17,433,386
5B-D18,497,383
5B-D20,497,331
5B-D21,428,325
5B-D23,432,231
5B-D24,499,210
5B-D25,435,191
5B-D27,430,151
5B-D31,505,155
5B-C26,397,159
5B-C24,392,225
5B-C20,397,331
5B-C18,392,386
5B-C16,391,424
5B-C14,394,463
5B-C12,394,497
5B-C08,394,558
5B-C06,397,615
5B-C02,395,672
5B-C01,328,670
5B-C05,322,602
5B-C09,331,534
5B-C11,332,506
5B-C13,325,463
5B-C15,331,424
5B-C17,321,383
5B-C19,331,350
5B-C21,333,313
5B-B20,286,333
5B-B21,218,190
5B-B19,224,233
5B-B17,218,313
5B-B24,309,211
5B-B19,219,348
5B-B17,219,388
5B-B18,288,387
5B-B16,290,423
5B-B14,288,461
5B-B12,291,506
5B-B10,293,536
5B-B08,286,578
5B-B06,286,610
5B-B02,286,669
5B-B01,224,698
5B-B03,224,650
5B-B05,218,610
5B-B07,226,579
5B-B09,228,541
5B-B11,221,503
5B-B13,219,458
5B-B15,225,426
