NAME_KR,NAME_EN,COUNTRY,INTRO_KR,INTRO_EN,WEBSITE,PARTICIPATION_TYPE,EXHIBITION_NAME_EN,BOOTH_NAME,HALL_NAME,PAVILION_NAME,FLOOR,X_COORD,Y_COORD,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN,DETAIL_URL,PRODUCT_COUNT,PRODUCT_LIST
Debo Artcraft Manufacturing Company Limited,Debo Artcraft Manufacturing Company Limited,Hong Kong,"We are a Hong Kong based OEM cut-and-sewn manufacturer with production facility in Dongguan, China. For over 25 years, our company has been the supplier of major brands, importers and retailers for their back-to-school and travel accessories products. Our product range includes zipper binders, pencil cases, backpacks, lunch bags and children trolley bags. We can also offer pallet services to meet our customer's needs.","We are a Hong Kong based OEM cut-and-sewn manufacturer with production facility in Dongguan, China. For over 25 years, our company has been the supplier of major brands, importers and retailers for their back-to-school and travel accessories products. Our product range includes zipper binders, pencil cases, backpacks, lunch bags and children trolley bags. We can also offer pallet services to meet our customer's needs.",,Exhibitor,Hong Kong International Stationery & School Supplies Fair 2026,5B-D06,School Supplies,,1,,,"Lunch Box, Pencil Box & Bag, School Bag; Pencil case / zipper binder / backpack / lunch bag; OEM, ODM","Lunch Box, Pencil Box & Bag, School Bag; Pencil case / zipper binder / backpack / lunch bag; OEM, ODM",https://www.hktdc.com/event/hkstationeryfair/en/exhibitor/1S005TWAA,2,https://www.hktdc.com/event/hkstationeryfair/en/product/1X00NPYZ; https://www.hktdc.com/event/hkstationeryfair/en/product/1X00NPYZ
"Jinhua Feima Bag Co., Ltd.","Jinhua Feima Bag Co., Ltd.",Chinese Mainland,School Bag,School Bag,,Exhibitor,Hong Kong International Stationery & School Supplies Fair 2026,5B-E20,School Supplies,,1,,,"School Bag; Bag; ODM, OEM","School Bag; Bag; ODM, OEM",https://www.hktdc.com/event/hkstationeryfair/en/exhibitor/1S005V7ZW,2,https://www.hktdc.com/event/hkstationeryfair/en/product/1X1PHBEP; https://www.hktdc.com/event/hkstationeryfair/en/product/1X1PHBEP
Zhejiang Jupeng Drinkware Co Ltd,Zhejiang Jupeng Drinkware Co Ltd,Chinese Mainland,Water Bottle,Water Bottle,,Exhibitor,Hong Kong International Stationery & School Supplies Fair 2026,5B-D10,School Supplies,,1,,,"Water Bottle; Bottles, Cups; OEM, ODM","Water Bottle; Bottles, Cups; OEM, ODM",https://www.hktdc.com/event/hkstationeryfair/en/exhibitor/1S005V80S,0,
"Wenzhou Kaiwen Stationery & Sports Manufacturing Co., Limited","Wenzhou Kaiwen Stationery & Sports Manufacturing Co., Limited",Hong Kong,We are a member of the China Writing Instrument Association. We have own Hong Kong Company and Factory in Chinese Mainland.,We are a member of the China Writing Instrument Association. We have own Hong Kong Company and Factory in Chinese Mainland.,,Exhibitor,Hong Kong International Stationery & School Supplies Fair 2026,5B-E02,Pen & Paper,,1,,,"School Bag, Highlighter; School Supplies, Water Color Pens, Stationery Gifts and whiteboard markers.; ODM, OEM","School Bag, Highlighter; School Supplies, Water Color Pens, Stationery Gifts and whiteboard markers.; ODM, OEM",https://www.hktdc.com/event/hkstationeryfair/en/exhibitor/1S005TY6K,2,https://www.hktdc.com/event/hkstationeryfair/en/product/1Z03LAVFW; https://www.hktdc.com/event/hkstationeryfair/en/product/1Z03LAVFW
"Guangdong Jishengke Industrail Co.,Ltd","Guangdong Jishengke Industrail Co.,Ltd",Chinese Mainland,"Note Book, Calculator, Handicraft Kit","Note Book, Calculator, Handicraft Kit",,Exhibitor,Hong Kong International Stationery & School Supplies Fair 2026,5B-F01,Creative Art,,1,,,"Note Book, Calculator, Handicraft Kit; Led light pad, LED Message Board, Calculator with LCD note; OEM","Note Book, Calculator, Handicraft Kit; Led light pad, LED Message Board, Calculator with LCD note; OEM",https://www.hktdc.com/event/hkstationeryfair/en/exhibitor/1S005UGEE,0,
"Ningbo Royalart Household Co., Ltd.","Ningbo Royalart Household Co., Ltd.",Chinese Mainland,"Ningbo Royalart Household Co.,Ltd","Ningbo Royalart Household Co.,Ltd",,Exhibitor,Hong Kong International Stationery & School Supplies Fair 2026,5B-E01,School Supplies,,1,,,"School Bag; Back to school items & Young adult items, perfect for OEM Designs with following categories: water bottle, sport bottle, lunch box, aluminum bottles and stainless thermos bottles, coffee mugs, dinnerware, baby accessories, backpack & lunch bag, pen; OBM","School Bag; Back to school items & Young adult items, perfect for OEM Designs with following categories: water bottle, sport bottle, lunch box, aluminum bottles and stainless thermos bottles, coffee mugs, dinnerware, baby accessories, backpack & lunch bag, pen; OBM",https://www.hktdc.com/event/hkstationeryfair/en/exhibitor/1S005UNE7,0,
Jiangsu Xingda Stationery Group Company Limited,Jiangsu Xingda Stationery Group Company Limited,Chinese Mainland,Paste & Glue,Paste & Glue,,Exhibitor,Hong Kong International Stationery & School Supplies Fair 2026,5B-E08,Pen & Paper,,1,,,"Paste & Glue; Glue Sticks, White Glues, Liquid Glues, Glitter Glues, Crayons, Paint, Cleaner, Doodle Set.; OBM, OEM, ODM","Paste & Glue; Glue Sticks, White Glues, Liquid Glues, Glitter Glues, Crayons, Paint, Cleaner, Doodle Set.; OBM, OEM, ODM",https://www.hktdc.com/event/hkstationeryfair/en/exhibitor/1S005UGLT,2,https://www.hktdc.com/event/hkstationeryfair/en/product/1X0ZLOBP; https://www.hktdc.com/event/hkstationeryfair/en/product/1X0ZLOBP
"Shaoxing Beteja Stationery Products Co., Ltd.","Shaoxing Beteja Stationery Products Co., Ltd.",Chinese Mainland,Stationery Gift Set,Stationery Gift Set,,Exhibitor,Hong Kong International Stationery & School Supplies Fair 2026,5B-C16,School Supplies,,1,,,"Stationery Gift Set; Eraser & Pencil; ODM, OEM","Stationery Gift Set; Eraser & Pencil; ODM, OEM",https://www.hktdc.com/event/hkstationeryfair/en/exhibitor/1S005V7YZ,0,
"Hangzhou Caishun Stationery Co., Ltd.","Hangzhou Caishun Stationery Co., Ltd.",Chinese Mainland,"Hangzhou Caishun Stationery Co., Ltd is the company was founded by the original team of Hangzhou Rainbow stationery factory(start in 2003), focusing on the design, production, and sales of children's painting toys, coloring markers and etc. Specializing in the production of kids dot marker, bingo marker, invisible ink marker, UV ink ,gift highlighter, stationery set and other latest creative early education products, supporting children to carry out basic cognitive learning and improvement. As a professional manufacturer, we own brands and also have rich OEM/ODM experience for inland and oversea market, served numerous domestic and international customers eg. amazon, supermarkets, and online shop customers. Welcome contact us, we'll supply with better and better product quality and high delivery speed.","Hangzhou Caishun Stationery Co., Ltd is the company was founded by the original team of Hangzhou Rainbow stationery factory(start in 2003), focusing on the design, production, and sales of children's painting toys, coloring markers and etc. Specializing in the production of kids dot marker, bingo marker, invisible ink marker, UV ink ,gift highlighter, stationery set and other latest creative early education products, supporting children to carry out basic cognitive learning and improvement. As a professional manufacturer, we own brands and also have rich OEM/ODM experience for inland and oversea market, served numerous domestic and international customers eg. amazon, supermarkets, and online shop customers. Welcome contact us, we'll supply with better and better product quality and high delivery speed.",,Exhibitor,Hong Kong International Stationery & School Supplies Fair 2026,,Creative Art,,1,,,"Artist Supply, Water Colour For Painting, Paint Brush, Artist Paper, Colouring Pen; Series dot marker, Bingo marker, Invisible ink marker, UV ink , Gift highlighter, Stationery set and other latest creative early education products.HaveWe have 20 years of production experience, welcome customization and wholesale.; OEM, Others, OBM, ODM","Artist Supply, Water Colour For Painting, Paint Brush, Artist Paper, Colouring Pen; Series dot marker, Bingo marker, Invisible ink marker, UV ink , Gift highlighter, Stationery set and other latest creative early education products.HaveWe have 20 years of production experience, welcome customization and wholesale.; OEM, Others, OBM, ODM",https://www.hktdc.com/event/hkstationeryfair/en/exhibitor/1S005TUO6,0,
Chung Tin Industrial Limited,Chung Tin Industrial Limited,Hong Kong,"Badge Holder, File Binder, Note Book, Envelope, Adhesive Memo Pad","Badge Holder, File Binder, Note Book, Envelope, Adhesive Memo Pad",,Exhibitor,Hong Kong International Stationery & School Supplies Fair 2026,,Office Supplies,,1,,,"Badge Holder, File Binder, Note Book, Envelope, Adhesive Memo Pad; Stationery, Binder, Expanding file, Notebook, Office supplier, Dividers; ODM","Badge Holder, File Binder, Note Book, Envelope, Adhesive Memo Pad; Stationery, Binder, Expanding file, Notebook, Office supplier, Dividers; ODM",https://www.hktdc.com/event/hkstationeryfair/en/exhibitor/1S005UGCK,0,
