booth_code,x,y
C202,763,819
C201,683,821
22248,1733,635
22247,1732,615
22246,1733,602
22245,1732,586
22243,1732,569
22229,1733,384
22227,1732,364
22220,1732,276
22219,1732,255
22218,1733,243
20800,1529,85
21944,1681,633
21943,1680,616
21941,1679,595
21844,1667,633
21843,1668,615
21841,1669,597
21744,1640,633
21743,1642,614
21742,1640,601
21740,1644,583
21644,1629,633
21643,1628,614
21642,1629,601
21641,1629,588
21640,1629,575
21544,1605,633
21543,1604,615
21541,1604,596
21444,1591,634
21443,1591,614
21441,1590,597
21344,1565,634
21343,1564,615
21342,1566,601
21340,1564,582
21244,1555,633
21242,1553,606
21240,1554,583
21144,1528,632
21143,1526,616
21141,1526,596
21044,1514,633
21043,1515,616
21041,1513,595
22038,1694,550
22037,1694,538
22036,1693,526
21937,1668,543
21936,1668,525
21837,1655,544
21836,1654,525
21635,1623,529
21436,1586,537
21136,1534,538
22033,1693,494
22032,1694,472
21933,1668,493
21932,1668,472
21833,1656,492
21832,1656,474
21632,1623,479
21432,1585,485
21132,1534,486
22029,1694,442
22027,1694,409
22026,1693,397
21929,1667,441
21829,1655,441
21826,1662,402
21729,1628,443
21630,1618,448
21629,1616,434
21626,1624,403
21530,1593,448
21529,1593,434
21330,1573,449
21329,1573,433
21326,1579,400
21126,1529,423
22123,1708,364
22023,1695,364
21823,1660,365
21623,1624,363
21423,1585,362
21123,1533,364
22020,1701,325
21820,1661,326
21620,1626,325
21420,1586,326
21120,1534,323
20817,1495,287
20814,1495,247
20810,1504,201
22118,1707,294
22117,1709,280
22017,1694,288
21817,1662,287
21617,1618,287
21217,1558,287
22014,1701,247
21814,1663,248
21614,1618,248
21214,1558,248
22010,1700,202
21912,1667,214
21910,1668,200
21812,1655,218
21810,1655,199
21610,1623,206
21310,1573,204
20844,1469,633
20840,1471,589
20644,1431,635
20640,1432,589
20444,1392,632
20440,1393,589
20244,1354,633
20241,1355,596
20044,1314,635
20040,1317,588
19844,1278,632
19840,1278,589
19544,1232,633
19540,1231,590
20734,1456,521
20730,1453,458
C205,1473,399
C203,1374,394
20230,1378,463
20434,1399,518
20234,1354,521
20034,1316,520
20030,1316,462
20025,1317,406
19535,1252,525
19526,1249,443
C206,1471,343
C204,1375,347
20020,1316,338
19522,1249,358
20417,1416,288
20217,1352,287
20017,1316,287
19517,1251,299
20410,1404,221
20011,1331,231
19511,1249,230
20204,1395,134
19504,1271,140
18743,1106,626
18244,987,634
17738,894,599
19340,1168,583
19040,1117,583
18740,1065,583
19134,1150,519
18734,1072,519
19230,1170,460
19031,1123,467
18831,1083,467
18630,1046,460
19227,1163,417
18927,1103,422
18627,1050,417
17726,928,453
18604,1108,251
17704,926,246
17242,788,615
17238,790,562
16838,693,592
16642,637,607
16638,634,565
17225D,820,508
17225C,820,487
17225B,822,474
17225A,822,447
17225J,791,510
17225E,760,505
17225F,758,452
17225G,759,439
17225H,757,420
16833,700,499
16633,637,500
16625,671,423
17221,788,345
17214,790,269
17204,785,157
16605,675,242
16242,543,615
16237,543,553
16227,544,454
16203,544,233
15833,465,489
15830,463,450
15823,462,370
15827,461,413
15819,462,316
15816,463,273
15813,463,236
15810,463,194
15803,464,131
15430,380,477
15004,332,237
15425F,400,429
15425E,400,411
15425B,402,399
15425G,382,429
15425H,383,411
15425C,383,401
15425I,372,426
15425L,374,403
15425J,353,424
15425K,352,407
15425A,401,381
15425D,382,381
15030,298,471
15026,299,411
14732,222,479
14726,222,417
14721,223,340
14717,222,291
14713,223,240
14704,225,142
C104,135,433
C103,131,322
C102,132,260
C101,132,149
15437,365,547
15237,307,545
16058,461,808
16055,459,771
16050,458,719
16045,461,650
16041,458,597
15958,429,811
15858,417,810
15955,427,770
15855,415,770
15850,423,720
15845,423,651
15943,429,612
15941,429,594
15843,415,609
15841,416,592
15758,388,809
15756,389,783
15658,375,810
15656,377,784
15558,350,808
15556,352,786
15458,339,809
15457,339,788
15456,337,777
15753,390,744
15653,376,745
15453,345,745
15650,382,707
15450,344,707
15445,364,651
15641,385,599
15441,344,599
15358,311,809
15356,312,785
15258,300,808
15257,299,791
15256,298,777
15158,272,808
15156,275,781
15059,261,814
15058,261,803
15056,261,784
15253,304,745
15053,266,746
15050,287,707
15046,287,657
15241,307,604
15041,268,603
14858,231,812
14855,227,772
14850,230,720
14658,189,811
14654,193,763
14450,173,715
14457,152,805
14454,153,758
14056,92,798
14050,92,725
14844,228,642
14644,190,642
14444,153,643
14244,114,645
14044,74,645
14841,230,594
14641,192,590
14441,146,591
14041,88,590
