booth_code,x,y
N101,1588,625
N102,1587,585
N103,1587,546
N104,1568,512
N105,1588,512
N106,1611,511
N107,1588,451
N108,1585,412
N109,1509,584
N111,1510,524
N113,1507,468
N110,1460,586
N112,1458,526
N114,1462,464
N115,1381,623
N116,1382,585
N117,1383,545
N118,1396,510
N119,1385,453
N120,1381,417
GL-1,947,645
GL-2,914,645
GL-3,848,642
GL-5,767,546
GL-6,736,547
GL-7,622,598
NL-2,589,455
NL-3,508,453
NL-4,423,455
NL-5,328,455
11000,107,421
11007,35,398
8010,1000,345
8004,1016,412
8006,1016,402
8200A,984,434
8005,997,413
8007,996,404
8104,986,411
8106,985,403
8300,961,433
8400,951,434
8500,940,433
8600A,931,434
8600,918,433
8105,961,408
8205,930,406
8305,899,408
8405,871,407
8700A,903,434
8700,894,434
8800,884,433
8900,858,433
8111,958,372
8211,914,372
8411,870,377
8119,960,336
8219,933,337
8318,925,336
8319,900,337
8417,869,342
8031,991,276
8037,990,237
8047,991,196
8053,991,160
8062,1015,119
8064,1017,105
8068,1015,84
8063,994,115
8162,987,114
8072,1016,70
8074,1016,59
8076,1016,44
8069,996,84
8073,996,68
8168,986,84
8172,987,69
8077,996,49
8079,996,38
8176,986,48
8178,986,38
8125,961,306
8225,931,306
8325,901,306
8425,870,306
8131,960,277
8231,931,276
8137,964,245
8141,966,225
8236,955,246
8240,956,225
8237,936,246
8241,936,226
8336,924,246
8340,925,225
8331,885,251
8147,961,196
8247,930,196
8347,901,196
8447,871,196
8153,960,160
8253,930,160
8353,900,160
8453,869,160
8163,966,114
8262,956,114
8263,936,115
8362,926,116
8363,906,114
8462,895,115
8463,874,115
8562,866,114
8169,966,90
8171,966,73
8268,955,89
8270,955,73
8269,933,85
8273,934,67
8368,925,89
8370,926,74
8369,906,89
8371,906,73
8468,895,89
8470,897,79
8472,895,69
8469,872,85
8568,865,84
8177,968,50
8179,966,38
8276,958,43
8277,931,44
8377,900,44
8475,873,58
8477,876,43
8574,864,57
8576,865,44
8505,824,383
8519,824,322
8529,823,264
8545,825,201
8553,824,161
8563,839,99
8663,809,97
8575,843,58
8577,843,44
8674,834,59
8676,835,43
8675,813,59
8677,812,50
8679,815,38
8774,804,59
8776,805,45
8705,753,403
8905,708,404
8713,752,352
8913,707,357
8923,707,317
8929,707,288
8725,753,273
8935,708,256
8941,707,226
8745,752,182
8947,706,196
8953,708,160
8763,769,101
8863,738,110
8963,708,110
8775,773,55
