booth_code,x,y
N201,1530,47
N203,1529,87
N205,1531,130
N207,1531,166
N209,1531,208
N211,1530,247
N202,1506,47
N204,1505,88
N206,1507,131
N208,1506,166
N210,1504,208
N212,1506,248
N230,1329,46
N228,1329,87
N226,1330,129
N224,1328,166
N222,1331,206
N220,1330,247
N229,1305,47
N227,1304,87
N225,1306,129
N223,1308,166
N221,1304,206
N219,1306,249
N213,1535,304
N214,1504,305
N215,1475,306
N216,1362,308
N217,1333,306
N218,1297,305
N231,1210,173
N233,1183,175
N235,1155,174
N237,1126,175
N239,1095,175
N241,1064,177
N232,1216,232
N234,1182,233
N236,1154,234
N238,1126,233
N240,1093,235
N242,1058,233
N243,1004,173
N245,936,173
N246,919,123
N250,842,119
N247,899,175
N249,859,176
N251,819,175
N253,592,116
N255,535,114
N257,450,115
N261,360,117
N252,478,52
N254,420,51
N256,361,50
N258,252,51
N262,116,50
N263,174,104
N265,142,102
