booth_code,x,y
37328,1429,147
37326,1430,138
37324,1429,128
37229,1419,148
37227,1420,138
37225,1421,127
37228,1399,147
37226,1400,138
37224,1400,128
37129,1390,148
37127,1390,138
37125,1390,128
37128,1371,148
37126,1372,137
37124,1371,128
37029,1361,148
37027,1361,138
37025,1361,127
37028,1342,148
37026,1341,138
37024,1341,128
36929,1332,148
36927,1332,139
36925,1332,128
36928,1311,148
36926,1312,139
36924,1311,128
36829,1301,148
36827,1303,139
36825,1302,128
36828,1282,148
36826,1282,138
36824,1282,127
36729,1273,148
36727,1273,138
36725,1274,128
36728,1253,148
36726,1253,137
36724,1253,128
36629,1244,148
36627,1244,138
36625,1245,128
36628,1224,148
36626,1225,138
36624,1223,128
36529,1214,148
36527,1213,138
36525,1214,127
36425,1189,138
36428,1164,148
36426,1165,138
36424,1164,128
36329,1155,147
36325,1154,133
37318,1430,98
37316,1431,89
37219,1421,99
37217,1421,89
37218,1400,98
37216,1400,88
37119,1390,98
37117,1391,88
37118,1373,98
37116,1371,89
37019,1360,98
37017,1360,89
37018,1343,98
37016,1342,88
36919,1332,99
36917,1332,88
36916,1312,93
36817,1302,93
36818,1281,98
36816,1282,89
36719,1273,99
36717,1273,89
36718,1253,98
36716,1253,88
36619,1243,98
36617,1243,89
36613,1244,69
36611,1244,59
36511,1219,78
36417,1191,95
36514,1195,79
36510,1195,64
36415,1182,79
36411,1184,64
36418,1164,98
36416,1165,88
36414,1164,79
36412,1164,69
36410,1164,59
36317,1155,94
36315,1153,78
36313,1155,69
36311,1155,59
36605,1244,30
36603,1244,20
36601,1243,10
36604,1223,29
36602,1223,19
36600,1225,9
36505,1213,30
36503,1214,20
36501,1212,10
36504,1195,30
36502,1195,20
36500,1194,10
36405,1184,30
36403,1185,20
36401,1187,10
36404,1164,30
36402,1164,20
36400,1165,10
36303,1155,25
36301,1155,11
36251,1109,257
36249,1109,246
36247,1109,236
36245,1109,227
36243,1109,216
36241,1109,206
36239,1109,196
36235,1110,177
36233,1109,168
36231,1108,158
36229,1108,148
36227,1109,137
36225,1110,128
36250,1089,257
36248,1089,246
36246,1089,235
36151,1079,256
36149,1079,246
36147,1079,236
36150,1060,256
36148,1061,246
36146,1060,236
36051,1050,257
36049,1049,246
36047,1050,237
36050,1031,257
36048,1032,246
36046,1030,237
