booth_code,x,y
W101,633,635
W102,616,578
WL-1,649,503
WL-2,649,459
WL-10,643,410
WL-3,677,383
WL-4,713,348
WL-6,700,349
WL-7,523,342
WL-8,502,340
DL-104,446,652
DL-118,409,684
DL-132,379,710
DL-302,419,623
DL-314,392,646
DL-326,372,664
DL-334,353,681
DL-342,334,698
3401,804,263
3501,772,250
3311,821,235
3306,804,241
3308,804,232
3405,798,242
3407,797,232
3319,811,209
3519,773,209
3225,838,191
3231,841,166
3327,811,175
3527,773,174
3141,858,136
3149,858,113
3241,819,131
3154,874,94
3155,857,94
3253,839,97
3353,819,99
3453,801,99
3541,771,116
3061,878,76
3161,859,74
3261,840,75
3361,819,75
3461,796,76
3660,769,75
3070,893,44
3069,877,46
3169,859,46
3269,831,46
3469,800,46
3569,783,46
3669,762,48
3076,898,22
3077,879,23
3177,858,25
3277,840,24
3377,820,24
3477,801,25
3577,781,24
3677,763,27
3800,728,253
4099,672,251
4399,626,253
4500,599,253
4600,552,253
3719,722,208
3826,729,176
4117,684,210
4024,688,178
4218,652,201
4131,651,168
4418,601,187
4718,545,188
3840,721,128
3854,720,89
4041,676,130
4051,681,100
4059,683,84
4153,656,99
4159,658,81
4339,625,131
4352,630,92
4551,606,101
4558,606,81
4541,574,121
4662,584,82
4762,564,82
4741,534,125
4755,536,89
3767,740,58
3771,741,47
3866,733,57
3870,734,46
3867,722,56
3871,721,46
3966,714,55
3970,714,46
3967,701,54
3971,701,47
4066,695,57
4070,694,46
4067,682,55
4071,683,47
4166,676,55
4170,676,47
4167,651,52
4466,624,58
4470,626,48
4565,619,56
4569,619,47
4566,607,58
4570,605,47
4665,600,52
4567,584,51
4667,565,52
4767,537,53
3775,707,26
4274,663,32
4179,663,21
4373,656,31
4278,656,21
4275,645,30
4279,645,20
4473,637,29
4378,637,21
4377,621,24
4477,603,23
4577,582,25
4675,565,26
4775,545,27
4875,526,26
5001,452,254
5601,389,252
5701,345,252
5019,488,185
5319,389,188
5041,481,112
5439,434,117
5539,390,120
5840,343,121
5359,443,81
5459,419,82
5658,395,82
5759,369,83
5859,337,82
5067,501,53
5075,500,25
5167,482,53
5175,473,27
5365,465,54
5366,459,56
5370,458,46
5367,443,52
5374,447,26
5467,415,53
5475,423,28
5575,403,28
5667,384,51
5677,386,24
5767,366,52
5775,366,27
5867,338,53
5875,338,24
6001,296,251
6201,260,251
6400,228,262
6410,228,236
6501,196,264
6503,196,238
6701,157,252
6901,119,261
6911,118,235
6019,292,205
6027,292,175
6219,258,207
6227,255,175
6419,211,187
6726,180,173
6719,158,206
6826,155,173
6919,119,204
6929,120,172
6041,286,133
6050,286,105
6059,299,83
6258,273,82
6341,229,130
6353,245,101
6552,214,100
6641,190,130
6741,155,131
7041,114,129
6359,246,82
6459,226,82
6559,207,82
6653,178,91
6853,141,100
6859,142,80
7052,113,100
7059,113,83
7200,73,264
7208,74,239
7301,36,253
7600,8,262
7119,81,201
7318,55,210
7324,55,190
7419,33,210
7425,33,191
7230,81,167
7330,47,167
7240,84,134
7241,65,138
7341,49,138
7252,85,103
7247,64,113
7258,82,83
6067,291,55
6075,291,27
6267,263,56
6273,267,35
6277,266,26
6279,267,19
6372,259,35
6376,259,26
6378,261,19
6367,247,58
6466,241,56
6373,247,37
6377,248,27
6379,247,20
6472,241,37
6476,241,27
6478,241,21
6467,225,49
6477,228,26
6576,222,26
6578,222,20
6567,206,50
6577,206,22
6667,190,55
6766,183,55
6767,167,56
6867,149,57
6967,129,56
7067,97,52
6673,189,39
6677,190,29
6679,190,21
6772,184,35
6776,182,28
6778,182,21
6773,171,34
6779,171,22
6872,164,38
6876,164,30
6878,164,21
6873,151,36
6877,151,27
6879,151,20
6972,144,35
6976,143,27
6978,143,20
6973,131,36
6977,132,27
6979,132,21
7072,126,34
7076,125,27
7078,125,20
7075,110,26
7175,91,27
