booth_code,x,y
Suite 29-139,72,517
Suite 29-137,119,511
Suite 29-135,156,509
Suite 29-133,193,512
Suite 29-131,227,509
Suite 29-129,267,509
Suite 29-127,304,513
Suite 29-125,339,512
Suite 29-123,374,512
Suite 29-121,411,511
Suite 29-119,447,512
Suite 29-117,484,511
Suite 29-115,520,512
Suite 29-111,567,519
Suite 29-105,624,518
Suite 29-103,674,512
Suite 29-140,71,450
Suite 29-136,129,452
Suite 29-134,177,457
Suite 29-132,213,458
Suite 29-130,251,458
Suite 29-128,285,458
Suite 29-126,323,458
Suite 29-124,358,458
Suite 29-122,394,459
Suite 29-120,431,459
Suite 29-118,469,458
Suite 29-116,505,457
Suite 29-112,541,459
Suite 29-110,575,456
Suite 29-106,624,450
Suite 29-104,673,457
Suite 29-201,718,446
Suite 29-203,750,424
Suite 29-205,781,397
Suite 29-207,807,372
Suite 29-209,831,348
Suite 29-211,860,323
Suite 29-215,886,296
Suite 29-217,909,271
Suite 29-219,937,245
Suite 29-221,963,220
Suite 29-223,988,195
Suite 29-225,1012,169
Suite 29-227,1040,141
Suite 29-229,1065,115
Suite 29-231,1094,86
Suite 29-235,1121,50
Suite 29-210,842,413
Suite 29-212,874,385
Suite 29-216,900,360
Suite 29-218,927,330
Suite 29-220,951,307
Suite 29-222,975,282
Suite 29-224,1003,251
Suite 29-226,1029,230
Suite 29-228,1056,207
Suite 29-230,1080,177
Suite 29-232,1107,153
Suite 29-234,1130,127
Suite 29-236,1170,96
Suite 29-336,1125,837
Suite 29-330,1094,797
Suite 29-328,1066,769
Suite 29-326,1043,745
Suite 29-324,1020,719
Suite 29-322,992,691
Suite 29-320,966,669
Suite 29-318,942,643
Suite 29-316,917,619
Suite 29-312,891,591
Suite 29-310,864,567
Suite 29-308,837,538
Suite 29-335,1171,787
Suite 29-333,1133,760
Suite 29-331,1105,733
Suite 29-329,1081,704
Suite 29-327,1054,683
Suite 29-325,1030,655
Suite 29-323,1007,633
Suite 29-321,980,606
Suite 29-319,954,578
Suite 29-317,928,551
Suite 29-315,901,528
Suite 29-311,872,500
Suite 29-309,844,472
