booth_code,x,y
Lido 3006,1083,472
Lido 3005,1087,393
Lido 3004,1084,311
Lido 3003,1085,227
Lido 3002,1084,142
Lido 3001A,1114,61
Lido 3001B,1058,60
Lido 3106,970,474
Lido 3105,970,395
Lido 3104,970,312
Lido 3103,971,226
Lido 3102,968,146
Lido 3101A,1002,59
Lido 3101B,946,59
Murano 3206 ,781,474
Murano 3205,784,387
Murano 3204,782,311
Murano 3203,784,229
Murano 3202,786,149
Murano 3201A,814,62
Murano 3201B,757,62
Murano 3306,670,476
Murano 3305,670,391
Murano 3304,672,308
Murano 3303,673,226
Murano 3302,671,144
Murano 3301A,703,59
Murano 3301B,646,59
San Polo 3406,484,477
San Polo 3405,482,395
San Polo 3404,484,308
San Polo 3403,479,233
San Polo 3402,483,148
San Polo 3401A,516,59
San Polo 3401B,459,60
San Polo 3506,374,477
San Polo 3505,370,399
San Polo 3504,370,312
San Polo 3503,373,227
San Polo 3502,374,145
San Polo 3501A,404,59
San Polo 3501B,349,62
Toscana 3802,213,489
Toscana 3801,215,438
Toscana 3803,161,463
Toscana 3804,101,462
Toscana 3806,49,492
Toscana 3805,46,437
Toscana 3703,215,350
Toscana 3702,216,296
Toscana 3701,214,243
Toscana 3704,160,330
Toscana 3710,160,258
Toscana 3705,104,332
Toscana 3709,102,260
Toscana 3706,46,351
Toscana 3707,46,295
Toscana 3708,46,241
Toscana 3603,219,156
Toscana 3602,218,100
Toscana 3601,216,47
Toscana 3604,161,137
Toscana 3610,162,59
Toscana 3605,105,137
Toscana 3609,104,59
Toscana 3606,46,155
Toscana 3607,47,101
Toscana 3608,47,45
