booth_code,x,y
A56,99,104
B55,136,106
A52,101,136
B51,137,138
A46,118,202
A42,99,235
B41,137,233
A32,116,331
A26,101,434
A24,102,467
A22,101,504
B25,136,436
B23,137,466
B21,137,506
B56,195,104
B52,195,139
C55,231,103
C51,231,138
B42,190,218
C45,231,200
C41,230,235
B36,194,297
B32,193,350
C35,232,299
C33,231,336
C31,231,370
B26,195,452
B22,212,504
C25,231,454
B16,195,576
B12,211,632
C15,232,578
C56,290,106
C52,288,139
D55,326,107
D51,327,137
C46,290,201
C42,291,235
E41,373,218
C36,288,298
C32,288,349
D35,327,299
D31,325,349
C26,288,434
C24,288,469
C22,288,503
D25,325,451
D21,325,501
C16,290,575
C12,290,630
D15,325,576
D11,326,630
D56,385,104
D57,424,104
D52,385,136
D53,422,139
E55,460,104
E51,460,137
D36,385,299
D34,385,333
D32,386,371
E35,423,299
E33,424,334
E31,424,369
D26,385,434
D24,385,469
D22,385,505
E25,423,434
E23,424,467
E21,423,507
D16,385,576
D12,385,629
E15,423,578
E11,421,629
E46,480,203
E42,480,235
F45,519,204
F41,519,235
E36,481,319
E32,481,369
F35,520,298
F33,519,332
F31,519,368
E26,481,432
E22,480,487
F25,519,434
F21,518,486
E16,482,577
E14,482,611
E12,482,648
F15,517,577
F11,519,629
E52,524,122
F51,564,123
F46,576,201
F42,578,235
G45,615,201
G41,616,235
F36,577,297
F34,577,333
F32,578,370
G35,616,315
G31,614,370
F26,577,432
F24,577,468
F22,577,507
G25,615,436
G21,613,486
F16,576,578
F12,576,628
G15,615,577
G11,614,626
G51,661,122
H51,708,122
G46,672,204
G42,674,237
H45,711,201
H41,712,237
G36,671,298
G34,691,334
G32,671,372
H35,710,297
H31,709,369
G26,671,432
H23,691,466
G22,671,507
H25,712,432
H21,709,504
G16,671,577
G12,671,628
H15,710,575
H11,709,629
A30,37,295
B15,87,626
A60,190,23
C60,432,25
F60,685,23
H60,751,64
H50,786,222
H40,785,328
H30,785,433
H20,786,545
H10,786,650
