booth_code,x,y
ZE-43,1457,141
ZE-42,1457,174
ZE-41,1455,191
ZE-40,1455,209
ZE-38,1454,228
ZE-37,1457,249
ZE-36,1458,260
ZE-34,1458,280
ZE-31,1453,314
ZE-29,1453,340
ZE-27,1458,369
ZE-23,1457,403
ZE-21,1457,445
ZE-19,1453,476
ZE-17,1458,498
ZE-15,1455,528
ZE-13,1455,552
ZE-11,1457,583
ZE-09,1455,606
ZE-07,1458,625
ZE-05,1454,651
ZE-01,1457,710
ZE-02,1457,693
ZE-04,1457,678
A-01,34,694
A-04,32,657
A-06,31,631
A-08,36,594
A-13,32,546
A-12,31,556
A-11,32,565
A-09,32,573
A-15,34,519
A-17,34,492
A-19,32,466
A-22,32,439
A-23,34,422
A-24,35,399
A-25,34,388
A-26,32,369
A-29,31,345
A-30,34,323
A-32,32,306
A-33,35,292
A-34,32,264
A-38,32,232
A-39,34,203
A-42,32,151
A-90,90,63
B-01,65,733
B-10,63,694
B-12,80,693
B-14,66,653
B-20,70,612
B-22,61,589
B-23,78,591
B-24,62,562
B-26,73,560
B-25,62,550
B-27,78,548
B-28,62,521
B-29,61,507
B-30,77,520
B-31,80,507
B-32,61,472
B-34,80,481
B-35,76,468
B-38,63,432
B-40,77,430
B-50,61,377
B-51,80,377
B-54,65,357
B-55,76,360
B-56,61,326
B-57,77,318
B-58,65,314
B-60,62,279
B-61,77,284
B-63,77,267
B-64,62,256
B-70,63,221
B-71,78,213
B-74,60,201
B-80,63,168
B-81,78,150
B-82,63,137
C-10,115,693
C-14,106,656
C-16,121,660
C-17,122,647
C-20,107,612
C-25,123,612
C-22,105,591
C-23,122,590
C-26,105,562
C-27,107,552
C-28,120,563
C-29,118,547
C-30,108,511
C-32,122,521
C-33,123,507
C-34,106,481
C-35,106,468
C-36,122,473
C-38,106,441
C-39,108,424
C-40,120,439
C-41,121,426
C-50,115,371
C-56,105,319
C-57,122,330
C-59,121,314
C-60,113,272
C-70,115,220
C-74,110,201
C-80,115,148
D-01,162,734
D-03,189,733
D-10,157,676
D-20,162,605
D-26,158,559
D-30,156,523
D-31,156,507
D-32,169,524
D-33,169,508
D-34,154,470
D-36,172,481
D-37,167,465
D-38,153,430
D-40,168,430
D-50,158,376
D-54,154,358
D-55,166,357
