booth_code,x,y
A038,66,402
A037,64,416
A036,65,431
B145,92,401
B146,105,400
B141,100,426
Z046,282,262
Z061,336,262
Z076,414,265
Z100,493,264
F171,213,315
F172,227,314
H171,301,315
J171,340,314
K171,380,314
K173,405,314
L171,457,314
M171,521,315
N171,551,315
N172,562,316
G161,254,357
G162,266,359
H163,294,350
H164,306,352
H161,295,364
H162,307,366
J161,334,357
K161,380,365
K167,404,350
K163,404,364
L165,457,350
L161,457,365
L163,480,365
M161,516,365
M162,527,365
N161,551,365
N162,562,357
C145,133,400
C146,146,401
C141,139,427
D147,174,394
D148,186,394
D146,185,406
D141,180,425
F147,214,394
F148,226,394
F145,214,407
F146,227,406
F141,219,427
G147,254,394
G145,254,406
G146,265,400
G141,260,427
H143,301,405
J147,340,394
J141,340,422
K141,391,411
L141,468,412
M143,521,401
M141,520,426
N147,551,394
N148,563,395
N143,550,414
N144,562,415
B135,95,464
B132,101,484
B131,89,489
C135,135,461
C131,129,482
C133,141,481
D133,199,484
G131,239,481
G137,264,469
G133,263,495
H131,304,481
H133,328,484
K131,385,484
L131,475,482
M131,534,482
M139,557,461
B125,95,516
B123,89,529
B121,89,541
B122,100,535
C125,135,517
C121,135,536
B105,94,572
B101,94,590
C101,135,584
D113,176,537
D115,202,547
D101,188,586
H113,314,546
H101,315,585
K121,386,539
K101,386,579
L121,475,540
L101,474,579
M101,533,586
M103,557,585
B084,96,637
B081,101,657
B065,88,689
B066,101,690
B061,94,709
C080,135,649
C065,129,689
C066,142,689
C061,135,707
D080,174,642
D082,200,649
D068,200,687
D066,175,690
G066,252,689
H080,315,651
H070,315,682
K066,385,669
L077,461,654
L088,490,657
L066,475,695
M080,543,644
M070,532,676
B041,88,744
B039,88,759
B040,101,752
B035,89,777
B031,90,805
B038,101,771
B30,101,795
C041,129,746
C039,129,757
C040,141,751
C031,137,790
D041,188,759
G041,239,759
G043,265,760
H041,304,760
H043,328,760
K041,387,771
L041,475,774
M041,533,761
M055,556,737
M043,557,779
B009,90,847
B010,101,847
B001,96,886
C009,135,845
C001,135,889
D021,186,829
D001,186,877
G021,250,826
G001,251,884
H021,315,826
H001,315,882
K001,386,860
L026,475,827
L001,475,876
M021,533,827
A035,65,460
A033,64,485
A032,65,504
A031,66,520
A029,65,546
A028,66,559
A025,66,597
A023,64,616
A022,64,637
A021,65,650
A020,66,664
A017,64,687
A015,65,737
A013,66,760
A011,64,786
A010,66,805
A008,65,826
A007,65,845
A006,66,859
A005,66,871
A004,65,884
A003,66,896
A001,66,917
Z001,156,261
A042,123,336
A026,65,580
B080,89,655
M113,175,482
F161,220,356
G171,261,312
G113,253,547
G101,252,586
G080,252,650
K043,386,739
L043,475,739
J162,345,356
K165,380,349
L173,482,314
L167,480,352
M163,521,349
M133,557,489
M113,546,549
M072,557,677
M001,546,879
Z115,692,289
P161,649,391
T161,756,382
T131,758,459
V031,792,452
V030,792,479
V028,790,509
V027,790,517
V026,789,526
V025,789,534
V024,789,542
V023,790,551
V022,790,561
V021,791,569
V019,791,597
V017,792,621
V015,792,647
V013,793,672
V011,792,699
V009,792,741
V007,791,766
V005,792,791
V003,792,817
V001,792,842
P135,596,445
P131,597,465
P125,597,502
P121,597,525
P105,591,565
P106,603,565
P101,597,592
P075,596,636
P071,591,656
P073,602,655
P055,597,695
P051,596,712
P045,597,751
P041,597,767
P025,597,819
P027,621,819
P013,597,867
P015,622,867
P001,609,894
R025,661,819
R027,686,821
R001,661,889
R015,686,866
R003,686,892
S013,725,866
S015,749,867
S001,726,892
S003,750,894
S025,725,819
S027,758,819
T041,758,764
S045,717,750
S041,717,770
R045,677,750
R041,671,767
R043,683,769
Q041,636,761
Q055,637,694
Q051,637,714
R055,677,692
R051,677,714
S055,718,692
S051,718,714
T055,758,694
T051,751,716
T053,763,717
T071,757,656
T075,758,636
S075,718,636
S071,717,656
R075,677,636
R071,677,657
Q075,637,636
Q071,637,657
Q105,630,565
Q101,630,590
Q106,643,565
Q102,643,592
R105,677,565
R101,671,591
R102,683,592
S105,712,565
S106,724,566
S101,712,592
S102,723,590
T105,751,566
T106,763,566
T101,751,592
T102,763,594
T125,756,502
T121,752,522
T122,764,522
S125,717,501
S121,712,522
S122,723,521
R121,677,516
Q121,636,516
Q135,638,445
Q131,630,469
Q132,642,471
R135,678,445
R131,672,465
R132,684,466
S135,718,445
S131,713,465
S132,724,465
